county,2005,2006,2007,2008,2009,2010,2011,2012,2013
410928,,1,1,1,2,1,2,2,
411002,,1,1,,,,,,
411023,1,4,5,,,1,2,1,1
411024,1,4,5,2,1,,,,
411025,,2,1,1,3,,1,2,1
411081,,3,3,1,3,,1,3,3
411082,1,,1,1,,1,,1,
411102,,,3,,,,,,
411103,1,3,5,,,1,,,
411104,3,1,,1,,,,,
411121,2,,3,3,,1,,,
411122,,,2,,2,3,1,,
411221,,,,1,,,,2,
411222,,,,,,1,,,
411282,,,,,,,,,1
411302,2,1,1,,1,1,,,1
411303,4,4,,1,,3,1,1,2
411321,2,1,,,,2,,1,
411322,,1,6,4,,2,2,,1
411323,,,,2,,,,1,2
411324,3,4,2,1,,1,2,1,4
411325,2,1,1,1,1,2,,,2
411326,,4,2,3,1,,2,1,3
411327,1,1,2,1,1,1,1,,
411328,9,3,6,2,2,1,,2,1
411329,4,2,1,1,1,,,,2
411330,,3,2,,,1,1,,
411381,8,8,4,1,1,1,3,,3
411399,1,,,,,,,,
411402,1,,1,,1,,,1,
411403,1,4,1,1,1,,1,1,
411421,3,,2,1,1,1,1,1,1
411422,1,3,1,2,1,,1,1,1
411423,1,,,3,,,,,1
411424,2,2,2,,2,1,2,1,
411425,,2,2,,1,,1,,
411426,5,2,6,4,1,3,,2,1
411481,3,2,,1,2,1,2,2,1
411499,,,,1,,,,,
411502,1,,1,1,,,1,,
411503,2,3,1,2,1,,,,
411521,,3,1,1,,2,,1,1
411522,1,5,,1,1,,,1,
411523,,,,,,,1,,
411524,1,4,1,,,,1,1,1
411525,2,3,2,1,3,1,1,2,2
411526,1,1,4,1,1,,2,1,
411527,2,,2,,,1,1,,1
411528,4,4,1,1,,,,1,
411599,,,,,1,,,,
411602,,2,,,,1,1,,
411621,,1,,2,,2,2,,
411622,4,2,5,,,1,3,1,1
411623,8,3,1,,1,2,,,1
411624,2,2,5,1,,,4,2,
411625,4,2,,1,1,,1,2,1
411626,3,1,1,,1,1,1,,2
411627,5,3,2,2,3,,2,7,
411628,1,1,2,,1,1,1,1,1
411681,,2,2,1,3,,2,,2
411702,,2,,,1,,,,
411721,,5,2,2,,,,,
411722,1,1,4,2,,,1,,
411723,2,3,1,,2,2,,,
411724,3,4,4,1,,,1,,
411725,2,1,1,,2,,2,,
411726,8,3,2,2,1,,1,1,
411727,,,2,,,,,,2
411728,3,1,1,2,,,,,1
411729,2,2,5,,,,1,1,
411801,,,,,1,,,,
419001,,,,,,,,1,
419999,1,1,,,,1,,,
420102,1,1,,,,,,1,
420103,,,1,,,,,,
420104,1,2,1,,,,,,
420105,,,1,,1,,,,
420106,1,,,,2,,,,
420107,,2,,,,,2,,
420111,1,1,2,1,1,,,,1
420112,,1,,,,,2,,
420114,2,1,,,2,1,1,1,1
420115,2,2,,1,1,1,2,,
420116,3,1,3,,1,,3,,2
420117,8,2,2,3,,2,1,,
420202,,2,2,,,,,,
420203,,,,,,,,,1
420204,1,2,,,1,,1,,
420222,13,9,3,2,2,,,1,
420281,7,11,4,2,1,3,1,1,1
420302,,,,,,,,1,
420321,,,1,1,5,1,2,,
420322,,,,,,,,,1
420323,,4,4,,4,1,,,
420324,,,1,,1,2,1,1,1
420325,,4,4,,3,,,,
420381,,1,,1,1,1,1,,
420502,,1,,,,,,,
420503,1,2,1,,1,,,,
420504,2,1,1,,,1,,1,
420506,2,2,,,1,,1,,1
420525,,3,,,1,,,,
420526,,,1,,,,,,
420527,,1,,,,1,1,,
420528,,3,2,,,1,1,1,
420529,2,4,,,,,,1,1
420581,1,,4,1,2,,1,1,
420582,10,3,1,,4,,1,2,
420583,2,4,2,1,1,1,1,4,2
420602,1,2,1,,,1,,1,
420606,1,,,,,,3,,1
420607,3,2,3,2,3,6,2,1,1
420624,2,,2,2,3,1,5,4,2
420625,,4,,1,1,3,,,1
420626,2,1,3,1,,,,,
420682,,7,2,1,1,,,,
420683,4,2,,,1,1,3,1,1
420684,3,3,,2,2,1,3,1,
420702,1,1,,,,,1,,
420703,2,1,1,,,,1,,
420704,1,2,2,1,1,,,,
420802,2,1,2,2,,3,,1,
420804,,,,,,,1,,
420821,3,1,1,,1,3,1,,
420822,4,,,3,2,2,2,,2
420881,7,6,3,4,3,2,2,,1
420902,,2,,,,1,1,,
420921,2,,1,,,,,1,
420922,2,,,,,,,1,
420923,,2,,,1,1,1,1,
420981,2,,5,,,1,,2,1
420984,1,1,5,2,1,2,,,3
421002,,2,1,,2,,1,,2
421003,5,,4,2,1,,,,2
421022,4,5,3,3,1,3,1,1,
421023,6,,3,2,2,2,3,,
421024,1,2,1,,1,,,2,
421081,3,1,1,2,,1,1,,
421083,1,2,4,,,1,,1,
421087,4,5,2,1,1,2,1,,1
421102,3,1,,,,,,,
421121,,4,1,,1,,,1,
421122,2,1,1,3,1,,1,,
421123,3,3,,2,1,,1,,
421124,,1,1,,,3,,2,
421125,5,4,3,1,1,1,1,1,
421126,5,9,7,1,,,,1,
421127,,11,7,3,4,,2,,
421181,7,4,2,4,4,1,2,1,1
421182,,11,1,2,,,,,
421202,4,4,1,1,,1,1,1,
421221,3,1,,1,,,,1,
421222,4,3,2,,,1,,1,
421223,3,,1,,,,,,1
421224,1,1,1,1,,,1,,
421281,1,2,2,,,,,,
421302,2,4,6,3,3,,,,
421303,,,,,,,1,1,1
421321,,,,,,,1,2,
421381,,,4,2,3,,,,
422801,,,1,8,5,4,4,1,
422802,,8,3,4,,1,2,,
422822,,,,,10,1,2,2,3
422823,,,,,3,4,,,1
422825,,,,,4,5,2,,
422826,,,,,3,1,,,
422827,,,,1,6,2,,1,
422828,,1,2,,,2,,,
429004,4,8,2,2,4,1,2,1,
429005,6,4,4,1,,1,3,,
429006,4,10,4,6,2,2,4,4,1
429021,,,2,,1,,,,
429999,,,,,,,1,,
430102,,,,,,,1,,
430103,,1,,,,,,,
430104,,,,,,1,1,,
430105,1,,,,1,,1,,
430111,,,,,,,,1,1
430121,,1,2,4,3,3,2,3,2
430122,2,3,1,3,1,1,1,,
430124,4,8,2,6,6,6,5,4,1
430181,2,1,6,3,1,3,3,2,2
430202,1,,,,,,,,
430203,,,,,,,,,1
430204,,,1,,,,,,
430211,,,,1,,,,,
430221,4,2,4,1,1,,1,,1
430223,3,5,3,,,1,3,1,1
430224,9,10,7,11,8,2,5,2,3
430225,,1,2,,,,,,
430281,2,7,1,2,2,,,1,
430302,1,,,,,,1,,
430304,4,,,,,,,,1
430321,5,8,9,1,3,1,,2,
430381,11,4,3,5,3,1,1,3,
430382,,2,,,,,,,
430399,,1,,,,,,,
430405,1,1,,,,,,,
430406,2,,,1,,,,,
430412,,,1,1,1,,,,
430421,3,6,4,2,,1,,,
430422,6,9,3,,,1,1,,
430423,6,6,3,2,2,,,,1
430424,2,4,7,1,1,1,1,,3
430426,4,3,3,,3,1,1,,
430481,4,8,4,1,1,,,1,
430482,3,4,3,1,5,1,2,,
430502,,,1,1,4,,,1,1
430503,,2,2,1,3,1,1,,
430511,1,,,,,,,,
430521,6,7,2,1,3,1,,,1
430522,5,8,2,2,7,5,6,5,2
430523,7,10,13,10,17,7,6,3,4
430524,2,2,7,4,4,4,8,4,3
430525,5,6,5,2,2,3,3,,2
430527,2,1,1,1,,,,,
430528,3,3,3,8,5,2,2,,2
430529,2,1,1,,,1,,,
430581,7,2,4,3,3,1,3,1,
430602,2,2,3,,,,,,
430603,,,1,,,,,,1
430611,3,2,1,2,,,,,
430621,3,6,,,1,,1,1,
430623,7,2,3,1,,2,,1,
430624,3,4,3,2,,1,1,1,
430626,5,3,4,3,3,2,2,1,
430681,4,2,4,1,1,,1,1,
430682,2,,2,2,,,,1,
430684,,,,,,,,1,
430702,,,,1,,,,1,
430703,9,1,4,2,5,1,,2,1
430721,2,5,5,,1,1,,,1
430722,5,3,3,,1,3,3,2,
430723,2,6,3,,1,,6,,1
430724,2,1,1,2,2,,1,,
430725,9,7,2,2,4,2,2,6,2
430726,1,2,3,3,3,,,,1
430781,1,,,,,1,1,,
430782,,1,,,,,,,
430783,,,,2,,,2,,
430784,,,,,1,,,,
430802,20,11,1,4,,,,2,
430811,2,2,,,1,,,,
430821,9,7,1,1,1,,1,2,1
430822,3,24,1,3,3,1,3,,
430902,1,4,1,2,,1,,1,1
430903,3,4,3,1,,1,1,1,
430921,1,3,5,1,2,,,2,6
430922,2,2,3,2,2,1,1,2,3
430923,10,8,4,8,2,4,4,5,1
430981,3,1,2,6,1,4,2,5,
430982,,,3,5,,1,1,,1
430999,,1,,,,,,,
431002,1,,2,1,3,1,1,1,
431003,2,3,1,,,,,,
431021,8,9,5,3,3,2,4,3,2
431022,12,9,11,2,1,,3,,
431023,5,,,1,1,2,2,1,
431024,6,3,6,3,1,5,3,,
431025,4,4,4,,3,2,1,1,1
431026,2,1,2,3,,,,,
431027,2,1,,,,,2,,
431028,3,3,3,,1,2,1,,
431081,3,4,1,,4,,,,
431099,1,1,,,,,,,
431102,4,7,11,6,7,6,2,5,
431103,3,2,1,,1,1,,3,
431121,4,7,2,,1,1,,1,
431122,8,6,9,8,10,3,7,1,1
431123,,3,1,3,,3,,,1
431124,6,8,4,4,4,6,6,6,1
431125,1,4,1,,2,,,,4
431126,3,5,5,1,2,,,3,2
431127,2,2,1,1,2,,1,,
431128,,10,3,2,1,2,,1,
431129,4,9,4,2,5,1,1,1,1
431199,,1,,,,,,,
431202,,2,,1,,2,,,
431221,,3,7,1,1,,1,,
431222,,2,2,3,1,5,,2,
431223,1,5,2,1,,,1,,
431224,7,6,4,10,2,4,4,2,5
431225,3,2,4,3,2,,1,,2
431226,,4,1,,,,,,
431227,4,,,,,2,,1,
431228,3,6,4,,3,1,1,,
431229,2,3,1,1,,,1,,
431230,1,2,,1,,,,,
431231,,,1,,,,,,
431281,2,4,3,,,1,2,,1
431302,3,3,2,1,,1,,,
431321,3,2,2,1,3,,1,1,2
431322,17,15,10,10,5,2,7,5,4
431381,,1,3,1,1,2,1,1,1
431382,7,3,12,7,,3,3,1,3
433101,,1,3,,,1,,,
433122,,1,5,,,2,,,
433123,,7,3,2,,4,5,1,
433124,4,8,2,1,,2,3,1,
433125,3,6,1,2,,4,2,,
433126,,,1,1,,,,,
433127,,2,4,1,3,1,,2,
433130,1,2,7,6,2,3,3,2,
439999,1,,,,,,,,
440103,,,,,,,,,1
440105,,,,,,,,1,
440106,,,,1,,,,,
440111,1,,,,,,,,
440112,,,2,,,,1,,
440113,1,,,,,,,,
440114,,1,,1,,,,,
440116,1,1,3,,,,,,
440183,5,10,9,2,2,,,,1
440184,1,,1,2,,1,,1,2
440203,1,,5,5,1,1,,,2
440204,2,3,3,3,,1,,1,
440205,,1,1,1,,,,,
440222,1,,,1,,,,,
440224,3,,1,2,1,4,,,
440229,7,5,2,5,4,4,1,2,
440232,1,4,2,5,5,2,,1,
440233,1,1,2,,1,2,2,2,2
440281,5,4,4,5,4,1,,,
440282,,1,2,,,,,,
440305,1,1,2,,,,,1,1
440306,1,9,7,5,1,3,1,3,2
440307,4,2,3,,3,1,3,1,
440310,,,,,,,1,1,
440402,,,,,2,1,,,
440403,,,,,1,,,,
440507,,,1,,,,,,
440513,1,,1,1,,,,,
440514,,1,2,2,1,,,,
440604,,,,,,,1,,
440605,2,3,,1,2,2,,1,1
440606,,,,,,1,1,1,
440607,,4,1,,,,,,
440703,,,1,,,,,,
440705,1,,,,,,,1,
440781,,,2,8,7,7,4,4,4
440783,1,,,1,2,3,7,,1
440785,,1,2,5,4,5,9,,
440804,,1,,,,,,,
440823,2,1,3,2,,,,,
440825,2,4,,,2,,,,
440881,17,19,7,7,5,9,3,1,5
440882,1,8,2,2,2,2,2,1,1
440883,4,7,4,1,,2,2,,
440902,4,12,7,4,8,7,3,,1
440903,4,7,7,6,7,7,5,2,1
440923,4,22,12,13,17,16,6,8,6
440981,4,16,12,12,9,9,6,8,
440982,7,16,14,12,10,13,9,9,3
440983,4,5,8,11,5,9,8,5,2
440999,,,,,1,,,,
441203,,,,3,,3,,1,1
441223,,3,5,6,12,6,2,2,1
441224,4,1,3,6,5,2,5,2,8
441225,7,2,8,4,3,5,3,2,2
441226,2,,,2,1,,2,,
441283,3,4,1,1,,5,2,,
441284,,1,12,7,1,2,3,,
441302,6,6,5,2,5,6,2,3,
441303,1,2,3,,2,1,2,,
441322,14,12,5,8,11,5,3,3,4
441323,2,6,2,,3,5,4,1,
441324,3,4,1,3,4,6,2,3,3
441421,4,3,,1,1,,,,
441422,,1,,,1,,,,6
441423,,2,2,1,3,,,1,
441424,15,13,5,11,7,6,6,3,9
441426,3,1,3,,1,1,1,1,
441427,,,,,1,2,,1,1
441481,1,1,3,,3,4,2,1,2
441502,,1,,,,,,,
441521,5,1,,,,,1,,
441523,1,1,,,,,,,1
441581,16,12,9,4,7,1,,,3
441602,2,,4,,4,6,7,7,4
441621,4,6,5,3,2,3,2,6,4
441622,6,1,4,6,1,5,1,2,4
441623,2,1,2,,2,8,2,3,2
441624,5,4,2,2,,,1,1,2
441625,7,5,4,5,4,5,2,6,1
441702,4,,1,,1,3,3,,
441721,4,7,10,1,4,,5,1,3
441723,3,5,4,1,1,7,3,,
441781,21,3,3,11,10,17,3,,
441802,,,10,11,12,8,3,,1
441821,,2,,3,2,,,,
441823,4,13,12,16,20,15,14,10,10
441825,1,,,,1,1,1,2,
441826,6,2,2,1,4,3,1,1,3
441827,,5,8,16,8,3,8,2,
441881,6,13,5,16,23,16,12,15,12
441882,3,8,14,1,4,3,4,5,4
441901,18,31,8,10,6,4,5,6,2
442001,3,,3,,,,1,1,
445121,,,,,1,,,,
445202,,,1,,1,,,,
445222,3,1,2,1,3,,1,,
445224,,1,9,4,,,,,
445281,1,9,3,7,3,1,,,
445302,,1,,,2,2,,1,
445321,1,1,3,2,2,,1,,
445322,2,3,1,7,5,6,5,4,6
445323,7,8,3,3,7,2,1,4,3
445381,10,8,10,8,19,10,2,2,2
449999,,,,1,,,,,
450102,,,,1,,,,,
450103,,2,1,2,,,,,
450105,1,,2,2,5,1,,,
450107,,,1,2,,,,,1
450108,2,2,2,,,1,,,
450109,4,3,2,1,1,1,1,4,1
450122,7,3,5,4,3,2,,1,1
450123,,,6,3,,,,,
450124,9,4,1,2,4,3,2,2,2
450125,16,9,3,7,1,1,6,1,1
450126,16,4,7,6,5,1,2,,1
450127,19,6,3,4,5,,1,2,1
450202,,,,,,,,,1
450203,,1,1,1,,,,,
450204,,4,,,,,,,
450205,2,4,1,1,2,1,,1,
450206,,,,,1,2,1,1,
450221,5,17,7,3,5,3,4,2,3
450222,4,10,5,4,7,5,6,2,
450223,5,9,5,2,,6,1,2,
450224,,8,5,3,2,,5,4,2
450225,14,8,3,3,3,1,5,2,
450226,,6,1,,2,,1,,
450299,,,,,1,,,,
450302,,,,,1,,,,
450303,,,1,,2,,,1,
450305,,,,1,,,,,
450311,5,1,,1,,,,,
450321,3,2,3,2,1,1,,,
450322,7,5,1,6,4,2,1,,1
450323,3,4,6,7,4,4,3,1,1
450324,13,20,20,16,14,14,12,12,9
450325,3,1,4,3,4,2,2,2,
450326,9,2,6,1,1,3,1,1,1
450327,1,1,5,3,3,3,2,2,2
450328,1,,,1,2,,1,,1
450329,,1,2,,3,1,,,
450330,7,3,6,3,4,,3,4,3
450331,1,,,,1,6,3,2,
450332,3,4,1,1,2,4,1,4,1
450403,,,,2,,,1,,
450404,,3,2,,1,1,,,
450405,,,1,,,,,,
450421,6,5,11,6,7,5,2,10,6
450422,6,4,7,9,12,9,6,3,9
450423,1,1,2,2,,2,3,1,
450481,5,1,2,2,5,5,6,6,9
450502,,,,,,,,,1
450503,,,1,,1,,,,
450512,,1,,4,,,,,
450521,10,12,16,5,3,7,2,5,3
450602,1,1,,,,,,,
450603,1,4,3,2,3,,,,1
450621,2,4,6,1,4,2,4,2,1
450681,1,1,,,,,,,
450702,5,15,9,7,8,9,6,5,4
450703,7,7,8,6,3,16,8,8,7
450721,8,12,15,11,3,9,7,6,8
450722,3,13,6,5,5,1,1,1,5
450802,,3,12,7,5,6,6,5,1
450803,7,10,8,10,6,3,3,2,2
450804,13,15,11,8,2,2,1,,
450821,13,11,11,8,13,7,13,10,8
450881,14,30,22,8,17,13,15,16,9
450902,3,2,4,3,1,2,5,1,1
450903,9,5,1,3,3,4,4,1,1
450921,8,15,13,9,3,8,11,3,1
450922,5,6,8,4,7,7,2,6,3
450923,7,18,16,5,5,5,6,4,
450924,5,7,1,4,5,2,5,2,
450981,22,11,11,11,4,8,3,5,3
451002,,4,7,2,2,2,,,
451021,1,3,2,2,3,,1,1,
451022,6,4,7,2,2,1,,,
451023,7,12,5,5,3,7,3,2,
451024,1,4,7,3,1,2,1,1,1
451025,5,4,5,2,3,3,4,3,1
451026,2,,2,,,3,1,,1
451027,,,,1,,,,,
451028,1,,1,,1,2,,,2
451029,,,4,6,3,4,1,2,
451030,,,3,9,1,1,,1,
451031,2,9,18,11,6,3,3,6,2
451102,8,13,4,5,6,9,12,5,2
451103,,,11,2,2,,8,,2
451121,,3,3,2,1,3,1,1,1
451122,10,6,4,2,3,2,5,3,2
451123,2,2,4,3,1,1,5,1,
451202,2,4,2,,,2,,1,
451221,2,3,3,1,2,3,2,1,
451222,,1,1,,2,1,2,2,
451223,,1,1,3,1,1,1,2,2
451224,3,2,3,4,3,4,2,1,3
451225,4,7,6,3,2,1,6,2,5
451226,6,3,3,1,1,5,1,4,1
451227,,1,1,,1,,,1,
451228,4,4,4,2,1,2,3,3,2
451229,3,6,3,4,3,8,3,1,3
451281,6,8,7,5,2,2,6,4,3
451302,32,15,12,17,15,10,8,8,8
451321,6,7,7,1,3,1,,,
451322,6,3,1,2,5,,2,2,
451323,19,10,9,15,8,4,5,10,3
451324,,,,1,,1,,1,
451381,3,4,3,,5,3,1,,
451402,3,2,5,2,3,,1,,
451421,2,,3,6,3,1,1,,
451422,3,4,3,7,6,7,9,4,1
451423,3,1,1,2,1,3,4,3,
451424,4,5,1,,,,,,
451425,2,2,2,1,,,1,,
451481,,1,1,,,1,1,1,
459999,1,,,,,,,,
460105,,,4,,,,,,
460106,1,,2,4,2,,,,
460107,,,4,3,1,2,,,
460108,,,1,7,1,,1,,
460202,,,,,1,16,4,10,5
469001,,,,,,,,,1
469002,,,3,10,3,4,5,,1
469003,1,1,11,8,2,3,2,,3
469005,,,,11,2,1,,2,4
469006,1,1,15,18,6,5,4,1,
469021,,,,7,1,,1,,1
469022,,,,8,1,2,3,2,
469023,,,,12,3,6,2,,
469024,,,,2,2,,,,
469025,,,5,,,2,2,2,2
469026,,3,2,,1,,,,
469027,,1,12,1,,,,,
469028,1,,2,14,14,14,7,6,4
469029,,,,,5,16,11,4,8
469030,,,1,1,1,,2,,
469031,,,3,,,,,,
469036,,1,,,,,,,
500101,,4,17,5,4,4,9,7,5
500102,,,14,7,6,6,5,4,1
500103,,1,,1,1,,,,
500105,,,,,,,,,1
500106,,,1,2,4,1,,,
500107,,,,,2,,2,,
500108,,,1,,1,,,,
500109,,,,4,,,,,
500110,,,,3,,1,1,1,
500111,,,,,,,,1,1
500112,,,1,3,2,3,1,,
500113,,,1,1,,,2,,1
500114,,1,3,2,8,2,4,,1
500115,,,5,2,3,1,1,1,1
500116,,,,6,6,2,6,1,1
500117,,,17,9,5,5,6,2,2
500118,,,3,5,9,4,1,1,1
500119,,,,6,3,1,3,1,
500199,1,,2,,,,2,,
500222,,,,2,,2,,,
500223,,,4,12,7,11,8,3,1
500224,,,,11,5,5,3,2,2
500225,,1,8,12,4,6,1,,
500226,,,6,5,1,,,4,
500227,,,,4,4,3,1,2,1
500228,,3,3,1,5,3,6,4,2
500229,,,1,,2,1,,1,
500230,,,9,16,10,3,1,1,1
500231,,,1,1,3,2,3,3,
500232,,,,,,,5,,
500233,,,4,15,1,1,1,2,
500234,1,,14,8,3,,2,1,1
500235,,2,16,5,2,3,1,,1
500236,,6,6,1,2,5,1,2,1
500237,,,5,6,5,3,,1,1
500238,,,7,3,3,2,,,
500240,1,,12,7,4,,5,,1
500241,,9,8,3,2,2,,,
500242,2,,6,3,2,,,,2
500243,,1,1,1,6,11,5,2,
500381,1,,,,,,,,
510104,,,1,,,,,,
510106,,,1,,,,,,
510108,,,1,,,,,,
510112,,3,4,,,,,,
510113,,4,1,,,,,,1
510114,,3,3,,1,,,,
510115,1,,2,,1,1,,,
510121,,4,2,,2,,,,
510122,,10,8,,1,,,,
510124,,,2,,,,,,
510129,1,1,1,,,,1,,
510131,,,7,,,,,1,
510132,,,5,,1,,,,
510181,,,6,,1,,,,
510182,,,4,,,,,,
510183,,,,,2,2,,,
510184,,,4,,2,,,,
510302,,,,,,,,,2
510303,,,1,,,1,,1,
510304,,2,2,2,1,1,1,,2
510311,,5,4,,1,1,,,
510321,12,4,2,,,1,1,4,2
510322,,2,4,2,1,2,1,2,2
510411,,,,,,1,,,
510502,,,1,1,1,,1,1,
510503,,1,2,,,1,,,
510521,,,4,1,3,,1,1,1
510522,,,1,1,,1,,,1
510524,,,,2,3,4,,,
510525,,,1,1,1,1,8,,1
510603,,,,3,2,2,,,
510623,,,3,5,,3,2,,
510626,,,,1,,4,,,
510681,,,1,,,,1,,
510682,,,1,,1,,,,
510683,,,,,,3,2,,
510699,,,1,,,,,,
510703,,,1,3,1,,,,
510704,,,,2,3,2,,,1
510707,,,,,,,,,1
510722,,,7,1,,,1,,1
510723,,,,,2,,,,
510724,,,,1,3,3,1,,
510725,,,,,1,1,1,4,1
510727,,,,,,,,1,
510781,,,,,2,,,,
510802,,,,,1,,,1,
510811,,,,,,,1,,
510821,,1,,,,,1,1,
510822,,,,1,,,,,
510823,,,,,,,,1,1
510824,,,,,1,,,,
510903,,,5,10,3,,1,1,
510904,,,11,7,4,5,1,2,1
510921,,,1,9,1,,4,1,
510922,,,,,1,2,2,,1
510923,,,12,3,,,,,
510999,,,,1,1,,,,
511002,,3,1,,2,,,,
511011,,1,6,4,,1,1,3,2
511024,1,3,3,1,1,,,,1
511025,2,11,8,3,1,1,1,2,3
511028,,,4,,1,1,3,1,3
511102,,1,1,1,1,,,2,
511111,,,1,,1,1,,,
511112,,,1,1,,,,1,
511113,,,,,,1,,,
511123,1,1,1,,1,,4,1,2
511124,3,1,1,,,,2,,2
511126,,1,3,2,1,,1,2,1
511133,,,,,,,,1,
511181,,1,2,,2,,1,,
511302,,,6,3,1,,2,2,1
511303,,1,4,5,1,,1,1,
511304,,,9,1,,,,,2
511321,,,8,6,1,1,2,1,
511322,1,4,5,,1,2,,1,4
511323,,7,6,2,,1,2,2,2
511324,,8,21,1,1,,,1,1
511325,,,5,4,1,1,2,3,
511381,,,1,4,2,3,4,2,
511402,,1,3,11,2,2,,,
511421,11,18,11,1,2,2,2,3,
511422,,,5,2,,1,,,
511423,,,3,3,1,,1,,
511424,,,1,4,1,,,,
511425,,,,,2,,,,
511502,,,1,,,,,,
511521,1,5,2,,,,,,
511522,,,,1,,1,,,
511523,,,2,1,1,1,,,
511524,,2,1,,,,,1,
511525,,1,,,,,,1,1
511526,,,1,,,,,,
511527,,,1,1,2,,1,,
511528,,,1,,,,,,1
511529,,2,,,,,,,
511602,,2,8,1,1,2,1,1,1
511621,,2,18,3,3,,,,
511622,,,16,6,1,,1,,1
511623,,5,6,2,1,,2,,
511681,,1,5,,1,1,,,
511702,,1,1,,1,,,,
511721,5,5,5,3,4,,,,1
511722,,12,4,,,,,,
511723,,5,5,2,1,,,,
511724,,,2,,,2,,,2
511725,6,6,3,2,,,1,,
511781,,,1,,,,,,1
511802,,,,,,1,,,
511821,,,1,3,1,3,,,
511822,1,,,,,,,,1
511823,,,,,1,4,1,,
511824,,,,,,1,,,
511902,,4,3,2,3,,,2,2
511921,,1,5,7,1,1,1,1,1
511922,,,,1,,,,1,
511923,1,9,13,2,1,,,3,1
512002,1,12,10,2,,,1,,1
512021,,3,11,5,2,4,,,3
512022,,2,4,4,,1,,1,2
512081,,7,4,,,,1,1,2
513401,,,,,,,,1,
513423,,,,,,,,,1
513425,,,,,,,,1,1
513427,1,,,,,,,1,
513428,,,,1,,,,,
513429,,,,,,,,,1
513433,,,,,,,1,,
513434,,,,3,,,1,,
513435,,,,,,,,1,
513437,,,,4,,,,1,
519999,,2,,,1,,,,
520102,,1,,1,,,,,
520103,1,,2,,1,1,,,
520111,3,8,3,3,3,2,3,,
520112,6,1,2,,2,,2,1,
520113,1,1,2,1,4,1,1,,
520114,,,,,,2,,,
520121,6,17,3,4,7,1,1,2,
520122,2,8,2,,,,,,
520123,3,3,6,2,1,2,1,,
520124,3,,,,1,,2,,
520181,2,4,4,1,6,3,,2,1
520199,1,,,,,,,,
520201,,1,2,3,1,2,1,1,
520203,4,14,11,11,5,5,7,5,2
520221,,2,9,3,4,4,5,2,1
520222,12,42,1,1,1,14,3,4,
520302,4,5,,,1,,,,
520303,6,9,,,1,,,,
520321,20,17,6,5,3,1,2,1,2
520322,,1,12,,1,1,,,
520323,2,14,3,2,1,3,,,
520324,,5,2,5,5,2,2,1,
520325,,,1,,,,,,
520326,,1,4,3,2,3,3,,1
520327,1,13,1,,2,2,3,,
520328,4,9,3,,,,1,1,
520329,,3,2,2,1,1,2,,1
520330,,,,3,2,1,,1,
520381,,,,1,,1,,,
520382,,6,,1,1,,,,
520402,16,16,16,6,10,9,10,2,2
520403,6,2,2,1,1,,,,
520421,4,3,3,2,2,3,,,
520422,21,17,7,6,6,6,5,,2
520423,20,17,7,10,8,4,3,5,3
520424,3,4,5,5,4,6,1,2,1
520425,4,5,6,5,6,4,11,4,1
520426,1,,2,,,,,1,
522201,,11,3,3,1,5,2,,
522222,1,1,3,1,,2,,,1
522223,6,2,1,2,,,2,3,2
522224,2,3,4,2,6,5,2,,
522225,2,8,15,10,8,9,4,,3
522226,2,1,5,1,3,2,,1,1
522227,,10,3,3,5,,2,1,
522228,,1,4,4,1,2,1,1,2
522229,2,15,23,8,4,5,4,1,1
522230,,1,,1,,,,,
522301,9,7,11,9,7,6,5,3,4
522322,57,32,7,3,7,5,14,7,6
522323,5,28,10,2,5,7,1,3,1
522324,6,4,8,4,3,6,2,1,
522325,21,8,2,2,10,5,2,3,3
522326,4,13,2,1,,,1,2,
522327,8,13,2,3,3,1,2,1,
522328,28,12,6,4,3,12,13,5,1
522401,,3,27,6,3,8,9,,1
522422,3,24,10,8,1,3,7,1,1
522423,19,12,9,8,7,5,,1,
522424,4,23,7,3,1,3,2,1,
522425,8,11,11,2,6,3,8,2,
522426,,9,9,,1,1,2,,
522427,,1,5,23,5,4,3,3,3
522428,,,5,13,3,3,1,1,
522499,,,1,,,,,,
522601,10,6,4,7,2,6,6,1,4
522602,,,,,,1,,,
522622,5,8,3,1,1,,3,1,3
522623,4,1,3,,,2,,,
522624,2,4,3,3,2,1,1,,2
522625,7,11,,,,1,,,
522626,7,8,,,,3,3,1,1
522627,6,7,7,4,4,,2,4,3
522628,,,4,2,1,,,5,1
522629,2,1,4,,1,1,2,1,
522630,2,1,,1,,,,,
522631,6,3,1,3,1,2,1,2,1
522632,3,3,7,4,,2,,,
522633,13,9,4,4,3,1,6,3,1
522634,3,3,3,1,3,3,1,1,1
522635,4,3,2,4,3,4,2,,
522636,4,1,1,1,4,,,,
522701,11,6,4,6,6,6,2,1,
522702,1,1,,1,1,2,,,1
522722,1,8,5,3,2,2,1,,
522723,3,6,6,1,,5,2,1,3
522725,5,8,2,1,5,1,2,3,2
522726,9,4,3,6,15,9,1,4,3
522727,3,1,4,1,2,3,1,1,3
522728,2,2,3,,1,3,1,3,1
522729,5,5,4,3,2,1,1,1,
522730,3,2,2,4,2,3,,,2
522731,14,11,10,3,9,3,10,3,2
522732,5,11,10,6,5,3,1,1,3
522799,1,1,,,,,,,
529999,,1,1,,2,,,,
530111,,,,,,,1,2,
530112,,,,,,,,1,
