line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,,,2,1,,,,,,1,,1
1102,,,,,,,,,,1,,,2
1201,,,2,,,1,1,,,1,1,,3
1202,,,1,,,,,,,,,1,4
1301,,,1,1,1,,2,,,4,4,,5
1302,,2,,1,,,1,,,,,,6
1303,,,,,,,,1,,,,,7
1304,1,,1,,,1,,,,,,2,8
1305,1,,,1,,,1,2,2,,,1,9
1306,2,,1,1,1,,2,2,3,2,3,3,10
1307,1,2,,,,3,3,2,2,1,4,,11
1308,,,,,,,,1,,,,1,12
1309,,,,1,2,,1,1,1,,,,13
1310,1,,,,,,,2,1,2,,,14
1311,,,,1,,2,,2,1,1,1,,15
1401,,,,,1,1,1,1,,2,1,,16
1402,,,,,2,1,,,,3,,,17
1403,,,,,1,,2,,,1,,,18
1404,,,,,1,,1,,,,1,1,19
1405,,,,,,,1,,,,2,,20
1406,,,,,,,,1,,,,2,21
1407,,,,1,1,,,,,1,1,,22
1408,,1,,2,3,3,,1,1,1,1,1,23
1409,,,2,,,1,,1,2,,,1,24
1410,1,3,1,2,4,2,7,5,5,1,3,1,25
1411,,,,,,,,,,,1,,26
1499,,,,,,,,,,,,,27
1501,,,,,1,,,2,,,1,1,28
1502,1,,,,,,1,,,,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,1,,,,,31
1507,,,,,,,,,,,,,32
1508,,,1,1,,,,,,,,1,33
1509,,,,,,,,,,1,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,1,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,1,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,,1,1,,,2,,,1,,47
3102,1,,,,,,1,,,,,,48
3201,,,,,,,1,,,,,,49
3202,,,,,2,,1,,,2,,1,50
3203,1,,,,,2,1,1,,1,1,3,51
3204,,,,,,,,,2,,,2,52
3205,1,,,1,,,,1,3,,,1,53
3206,,1,1,1,,1,,2,2,2,2,,54
3207,1,,,2,2,1,,3,1,2,1,1,55
3208,2,,,1,1,1,,2,1,1,,,56
3209,1,1,,,,2,,1,,1,1,,57
3210,,,,,,,1,,,1,,,58
3211,,,,,,1,1,,,,,,59
3212,,,,,,,1,2,1,,,,60
3213,,,2,1,,1,,1,3,1,,,61
