line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,,,,,,,1,,,,,1
1102,,,,,,,,,,,,,2
1201,,,,,,,,,,2,1,,3
1202,,,,,,,,,,,,,4
1301,,,,,,,,,,,,1,5
1302,,,,,,,,,,,,,6
1303,,,,,,,,,,,,,7
1304,,,,,,,,,,,,,8
1305,,,,,,,,,,,,,9
1306,,,,1,,,,,,,,,10
1307,,,,,,,,,,,,,11
1308,,,,,,,,,,,,,12
1309,,,,,2,1,4,,2,,,,13
1310,,,,,,,,,,,1,,14
1311,,,,1,,,,,,,,,15
1401,,,,,,,,,,,,,16
1402,,,,,,,,,,,,,17
1403,,,,,,,,,,,,,18
1404,,,,,,,,,,,,,19
1405,,,,,,,,,,,,,20
1406,,,,,,,,,,,,,21
1407,,,,,,,,,,,,,22
1408,,,,,,,,,,,,,23
1409,,,,,,,1,,,,,,24
1410,,,,,,,,,,,,,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,,,,27
1501,,,,,,,,,,,,,28
1502,,,,,,,,,,,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,,,,,,,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,,,,,,,,1,,,47
3102,,,,,,,,,,,,,48
3201,,,1,,1,,1,,,,1,1,49
3202,1,,2,,2,,1,,,1,,,50
3203,,2,3,2,3,1,3,3,1,2,,1,51
3204,,,,,3,1,1,1,2,,1,,52
3205,,,1,,,,,,2,,1,1,53
3206,1,,2,1,,1,3,1,1,2,,1,54
3207,,,1,1,1,1,1,,2,,2,,55
3208,3,2,1,1,1,,1,2,1,,,,56
3209,2,,2,2,,1,1,,1,1,1,,57
3210,,,,,1,,,1,,,,1,58
3211,,1,,1,,1,,2,,,,,59
3212,,,1,,,,,1,,1,4,,60
3213,3,2,,1,2,2,2,2,3,1,2,,61
3301,1,,,,,,1,2,,2,,2,62
3302,1,,1,,,3,,,,1,1,1,63
3303,,1,,,1,2,,,2,,3,1,64
3304,,,,,,,,,,,,,65
3305,,,,,,2,,,,3,,,66
3306,,,,,,,1,1,,1,1,,67
3307,,,,,1,,2,,,,,,68
3308,,,,,,,,,,,,,69
3310,4,2,,3,2,,4,1,4,,1,2,70
3311,,,,,,,,,,,,,71
3399,,,,,,,,,,,,,72
3401,1,,,,1,2,1,,,,1,1,73
3402,1,,,,1,,1,1,,,,,74
3403,,,1,1,,,,,1,,1,1,75
3404,,,,,,,,,,1,,1,76
3405,,,,,,,1,,,,,1,77
3406,,,,,,,,1,,,,,78
3407,,,,,1,,,,,,,,79
3408,1,,,,,,1,,3,1,1,1,80
3410,,,,,,,,1,,,,,81
3411,,1,,,1,,,2,2,,1,,82
3412,2,,1,,2,2,1,1,2,4,1,2,83
3413,,,,,1,,2,,,2,1,,84
3414,1,,1,,,2,1,1,2,1,,1,85
3415,1,1,1,,1,,1,2,,,,,86
3416,1,1,1,,,,1,1,,,,1,87
3417,1,,,,,,,3,,,,,88
3418,,,,,,,2,,2,,1,,89
3499,,,,,,,,,,,,,90
3501,,,,,,,,,,,,,91
3504,1,,,,2,,,3,,2,,,92
3505,,,,1,,2,1,4,1,2,2,1,93
3507,,,,,,,,,,,,,94
3508,,,,,,,2,,,1,,2,95
3509,,,,,,,,,,,,,96
3510,,,,,,,,,,,,,97
3601,,1,,1,,,1,1,,,,,98
3602,,,,,,,,,,1,,,99
3603,,,1,,,,,1,1,1,1,3,100
3604,,2,1,1,,1,3,2,2,,,1,101
3605,1,,,,,,,,,,,,102
3606,1,,,,1,,,,,,,,103
3607,3,1,,1,2,2,1,4,5,1,4,2,104
3608,1,1,2,,2,2,1,2,1,5,2,,105
3609,3,1,,1,1,,2,2,,2,,,106
3610,,,,,2,2,1,,2,1,,,107
3611,2,,,1,1,,,2,2,3,2,3,108
3701,,,,,,,,,,,,,109
3702,,,,,,,,,,,,,110
3703,,,,,,,,,,,,,111
3704,1,1,,,1,,,,1,,2,1,112
3705,,,,,,,,,,,,,113
3706,,,,,,,,,,,,,114
3707,,,,,,,,,,1,,,115
3708,,,1,,,1,,1,,,1,,116
3709,,,,,,,,,,,,,117
3710,,,,,,,,,,,,,118
3711,,,4,,,,,,,,,,119
3712,,,,,,,,,,,,,120
3713,2,1,1,1,1,1,4,2,2,4,6,2,121
3714,,,,,,,,,,1,,1,122
3715,,,,,,,1,,,,1,,123
3716,,,,,,,,,,,,,124
3717,,1,,2,2,1,3,1,,1,1,3,125
3799,,,,,,,,,,,,,126
4101,,,,,,,,,,,,,127
4102,,,,,2,2,,1,1,,2,,128
4103,,,,,,,,,,,,,129
4104,,,,,,,,1,,1,,,130
4105,,,,,,,,,,,,,131
4106,,,,,,,,,,,,,132
4107,,,,,,,,2,,,,,133
4108,,,,,,,,,,,,,134
