line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,1,,2,1,,1,,,,1,,1
1102,,,,,,,,,,,,,2
1201,3,1,,1,,,,1,2,1,1,,3
1202,,,,,,,,,,,,,4
1301,1,1,,2,3,1,,,1,1,1,1,5
1302,,,,,,,,3,1,,,,6
1303,,,,,,,,,,,,,7
1304,1,2,,,,2,,,1,,,,8
1305,1,,,2,1,,1,3,,1,1,3,9
1306,3,1,3,5,3,2,4,1,5,3,1,3,10
1307,,,1,1,,1,1,,,,1,,11
1308,,,,,,,,,,,,1,12
1309,2,1,2,2,,,1,1,3,,1,2,13
1310,2,,1,1,,2,1,1,,,1,,14
1311,1,,,,1,,2,1,,1,1,2,15
1401,,,,,,,,,,,,,16
1402,,,,,,,,,,,,,17
1403,,,,,,,,,,,,,18
1404,,,,1,1,,,,,,,,19
1405,,,,,,1,,,1,,,1,20
1406,,,,,,,,,,,,,21
1407,,,,,,,,,,,,,22
1408,,,,1,,,,,2,,,1,23
1409,,,,,,,,,,,,,24
1410,,,,,,,,,,,,,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,,,,27
1501,,,,,,,,,,,,,28
1502,,,,,,,,,,,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,,1,,,,1,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,,,,,1,,,,,,47
3102,,,,,,,,,,,,,48
3201,,,,,1,,,,,,,,49
3202,,,1,1,1,,,,,1,,,50
3203,4,,1,2,,3,1,2,1,,1,,51
3204,,,,,,1,,,1,1,1,,52
3205,,,,,,,,,,,1,,53
3206,1,,,1,2,3,1,2,,5,,,54
3207,,,,,,,1,,1,1,,1,55
3208,,,,2,1,,1,,,1,1,1,56
3209,,,1,1,,,2,1,1,2,,,57
3210,,,,,,,1,,,,,,58
3211,,,,2,,,2,1,,,,,59
3212,1,1,1,,1,2,,1,,1,1,2,60
3213,1,,,1,1,,2,1,,1,,1,61
3301,,,,,1,,1,,,1,,,62
3302,,,,,,,,1,3,,1,1,63
3303,,,1,,,,2,,,1,3,1,64
3304,,,1,,,,,,,1,,,65
3305,1,,1,1,1,,1,1,2,,,,66
3306,,1,,,,,,1,,,,,67
3307,1,,,,1,,,1,,1,,,68
3308,,,,,,,,,,,,,69
3310,,,,,,,1,,1,,,,70
3311,,1,,1,,1,,,,,,,71
3399,,,,,,,,,,,,,72
3401,,1,,,,,,,,,,,73
3402,,,,,,,,1,,,,,74
3403,,1,,,,1,,,2,,,1,75
3404,,,,1,,,1,,,,1,,76
3405,,,,,,,,,,,,,77
3406,,,,,,,,,,,,,78
3407,1,,,,,,,,,,,,79
3408,,,,,,,1,,,1,,,80
3410,,,,,,,,,,,,,81
3411,,1,,1,,,,,,,,,82
3412,1,1,1,1,1,1,2,2,,1,2,,83
3413,,,,,,1,1,,,1,,,84
3414,,,,,1,,,,,,,,85
3415,,,,,,1,,,,,2,,86
3416,,,,,,,1,,,,,,87
3417,,,,,,,,,,1,,,88
3418,,,,,,,,,1,,1,,89
3499,,,,,,,,,,,,,90
3501,,,,,,,,,,,,,91
3504,,,,1,,1,1,,,,,,92
3505,1,,,,,,1,3,1,1,1,,93
3507,,,1,,,1,,,,,,,94
3508,,1,,,,,,,,,,,95
3509,,,,,,,1,,,,,,96
3510,,,,,,,,,,,,,97
3601,,,,,,1,1,,,1,2,2,98
3602,,,,,,,,,,,,,99
3603,,1,,,,,,1,,2,,,100
3604,,,,,1,2,1,,,,,1,101
3605,,,,,,,,,1,,,,102
3606,,,,,,,,,1,,,,103
3607,1,3,1,2,,4,1,2,1,3,1,2,104
3608,3,,,,,3,,,2,3,2,2,105
3609,,1,,,,2,,1,,4,1,,106
3610,,,,,,,,,,,,,107
3611,,,1,,1,4,1,1,1,2,,,108
3701,,,,,,,,1,,,,1,109
3702,,,,,,,,,,,1,,110
3703,,1,1,,1,,,1,,1,,,111
3704,1,,,,1,,,3,2,,1,1,112
3705,,,1,,,,,,,,1,,113
3706,,,1,,,1,2,1,2,2,,,114
3707,,,,1,,2,1,,2,,1,,115
3708,1,,4,,2,1,1,,2,5,1,1,116
3709,1,,1,1,,,,,,,,,117
3710,,,,,,,,,,,2,,118
3711,,1,1,,,,1,1,1,,,,119
3712,,,,,,,,,,,,1,120
3713,2,1,3,1,1,2,3,3,5,2,1,1,121
3714,,,,,1,,2,,1,1,2,,122
3715,3,,,,1,1,,,,1,,,123
3716,,1,,,2,,2,1,,,,,124
3717,1,,,,,,1,,,1,,1,125
3799,,,,,,1,,,,,,,126
4101,,,1,2,,1,,2,1,,1,,127
4102,,,,2,,,,1,,,,,128
4103,,1,1,,1,,1,1,,2,1,,129
4104,,,2,1,1,,,1,2,3,2,,130
4105,,,,,,1,1,2,1,,2,,131
4106,,,1,,1,,,1,,,,,132
4107,,1,,,,,,,,,,,133
4108,,,,,,,1,,1,1,,1,134
4109,,,,,,2,1,1,,,1,,135
4110,,,,,1,1,,2,,1,,,136
4111,,,,,,1,,,1,1,1,,137
4112,1,,,,,,,,,,,,138
4113,2,,,3,1,1,4,2,1,2,,1,139
4114,1,1,,,1,1,2,2,2,1,,2,140
4115,2,,1,,,,,,2,1,1,1,141
4116,1,,1,,,1,,1,,1,,2,142
4117,,,,,2,1,1,2,,1,1,1,143
4118,,,,,,,,,,,,,144
4190,,,,,,,,,,,,,145
4199,,,,,,,,,,,,,146
4201,,,,,,,,2,2,1,,,147
4202,1,,,,,1,,,,1,1,,148
4203,,,,,,,,1,,,1,,149
4205,,,,,,,,1,,,,1,150
4206,2,,,2,,2,1,1,,1,,,151
4207,,,,,,,,1,,,,,152
4208,1,,,2,1,1,2,,,,1,1,153
4209,1,1,,,,,,,,,,,154
4210,1,,1,1,1,1,1,1,1,1,1,,155
4211,,1,,,2,1,4,3,2,,2,1,156
4212,1,,,,,,1,,,1,,,157
4213,,,1,,,1,,1,,1,1,,158
4228,,,,1,,1,1,,6,1,1,2,159
4290,,,,,1,2,,3,,1,,2,160
4299,,,,,,,,,,,,,161
4301,,3,1,,1,3,2,1,2,3,,,162
4302,,,,3,,2,1,2,3,2,1,1,163
4303,1,1,,,,1,1,1,,,1,,164
4304,1,,,,2,3,1,,1,,1,,165
4305,3,3,3,2,,4,5,2,,6,3,2,166
4306,,,,,1,1,3,2,2,1,1,,167
4307,,,,,1,1,4,2,1,,1,2,168
4308,,1,,,1,1,1,3,,,1,,169
4309,2,1,1,3,3,1,1,3,2,5,1,2,170
4310,2,,1,2,,2,1,,1,1,1,2,171
4311,3,1,1,1,1,1,5,4,2,3,3,2,172
4312,1,3,,2,1,4,2,1,2,2,1,2,173
4313,1,2,,1,,1,2,4,3,3,,3,174
4331,1,,1,1,1,2,1,1,1,,3,1,175
4399,,,,,,,,,,,,,176
4401,,,1,,1,,,3,,1,,,177
4402,6,1,3,3,,1,2,2,1,2,5,1,178
4403,,1,,1,,,1,,1,1,,,179
4404,,,,,,,,,,,,,180
4405,,,,,,,1,1,1,,,,181
4406,,,,,,,,,1,,,,182
4407,,1,1,,,1,4,1,,3,3,,183
4408,2,2,,3,,,,,2,2,,1,184
4409,6,5,4,4,4,3,5,3,2,12,5,5,185
4412,,2,3,1,9,4,3,3,,3,1,,186
4413,2,1,,1,1,1,,2,,1,1,3,187
4414,,,1,2,1,,3,1,1,1,2,1,188
4415,,1,,,,,1,,,2,,,189
4416,3,1,,,1,2,5,1,,1,,2,190
4417,1,1,2,,,,2,1,3,1,1,1,191
4418,8,4,6,5,7,5,5,2,6,7,4,5,192
4419,,2,1,1,,1,1,2,,,2,,193
4420,,,,,,,,,,,,,194
4451,,,,,,,,,,,,,195
4452,2,,,2,1,1,1,1,1,,2,1,196
4453,1,1,4,1,2,,3,3,,3,1,1,197
4499,,,,,,1,,,,,,,198
4501,2,2,1,4,2,7,3,4,4,3,2,,199
4502,3,,,1,,1,2,,1,4,2,3,200
4503,3,3,2,2,2,6,2,3,6,5,4,7,201
4504,3,,3,,1,1,2,,2,4,5,,202
4505,,,1,2,,,,1,1,2,2,,203
4506,,,1,1,,,,,,1,,,204
4507,1,1,2,3,5,4,1,1,3,4,4,,205
4508,3,4,2,3,4,4,4,5,3,3,2,4,206
4509,3,1,3,5,3,4,3,5,5,3,4,,207
