line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,,,,,1,,,2,,,,1
1102,,,,,,,,,,,,,2
1201,1,1,,,,3,,,1,1,1,,3
1202,,,1,,,2,,,,,,,4
1301,,1,1,3,1,,2,5,5,1,1,2,5
1302,,2,2,,,1,1,2,1,1,1,2,6
1303,,,,1,,1,1,1,2,,2,1,7
1304,,2,,,,1,,2,,1,2,1,8
1305,,1,1,,5,,1,1,1,2,1,,9
1306,2,1,1,4,5,2,5,6,4,5,4,,10
1307,2,1,,,,1,,2,1,1,,,11
1308,,,,,,,,,,,,,12
1309,1,1,,1,1,,1,2,1,,,1,13
1310,,1,,,,2,,,1,1,,1,14
1311,,,,,2,1,1,1,,1,,1,15
1401,,,,,,,,,,,,,16
1402,,,,,,,,,,,,,17
1403,,,,,,1,,1,1,,,,18
1404,1,,,1,,,2,,,2,,1,19
1405,,,,1,,,,,,,,,20
1406,,,,,,,,,,,,,21
1407,,,,,,,,,,1,,,22
1408,,,,1,1,1,1,2,3,3,,2,23
1409,,,,,,,,,,,,,24
1410,,,,,,,,,,1,,,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,1,,,27
1501,,,,,,,,,,,,,28
1502,,,,,,,1,,,,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,1,,,,,2,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,1,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,1,,,,,,1,,,,47
3102,,,,,,,,,,,,,48
3201,,,,,,1,,,,,,,49
3202,,,,,,,1,,,1,,,50
3203,2,,1,,,2,2,,,3,3,,51
3204,,,1,,1,,,,,2,,,52
3205,,,,,1,,,,,,,,53
3206,1,1,,,1,1,1,,2,1,2,,54
3207,1,,2,1,1,1,,1,1,,,1,55
