code,name,nameE2,preCode,nameE
360600,鹰潭市,ying tan shi ,3606,ying tan shi
370600,烟台市,yan tai shi ,3706,yan tai shi
410600,鹤壁市,he bi shi ,4106,he bi shi
420600,襄阳市,xiang yang shi ,4206,xiang yang shi
430600,岳阳市,yue yang shi ,4306,yue yang shi
440600,佛山市,fo shan shi ,4406,fo shan shi
450600,防城港市,fang cheng gang shi ,4506,fang cheng gang shi
510600,德阳市,de yang shi ,5106,de yang shi
520600,铜仁市,tong ren shi ,5206,tong ren shi
530600,昭通市,zhao tong shi ,5306,zhao tong shi
610600,延安市,yan an shi ,6106,yan an shi
620600,武威市,wu wei shi ,6206,wu wei shi
130700,张家口市,zhang jia kou shi ,1307,zhang jia kou shi
140700,晋中市,jin zhong shi ,1407,jin zhong shi
150700,呼伦贝尔市,hu lun bei dong shi ,1507,hu lun bei dong shi
210700,锦州市,jin zhou shi ,2107,jin zhou shi
220700,松原市,song yuan shi ,2207,song yuan shi
230700,伊春市,yi chun shi ,2307,yi chun shi
320700,连云港市,lian yun gang shi ,3207,lian yun gang shi
330700,金华市,jin hua shi ,3307,jin hua shi
340700,铜陵市,tong ling shi ,3407,tong ling shi
350700,南平市,nan ping shi ,3507,nan ping shi
360700,赣州市,gan zhou shi ,3607,gan zhou shi
370700,潍坊市,wei fang shi ,3707,wei fang shi
410700,新乡市,xin xiang shi ,4107,xin xiang shi
420700,鄂州市,dong zhou shi ,4207,dong zhou shi
430700,常德市,chang de shi ,4307,chang de shi
440700,江门市,jiang men shi ,4407,jiang men shi
450700,钦州市,qin zhou shi ,4507,qin zhou shi
510700,绵阳市,mian yang shi ,5107,mian yang shi
530700,丽江市,li jiang shi ,5307,li jiang shi
610700,汉中市,han zhong shi ,6107,han zhong shi
620700,张掖市,zhang ye shi ,6207,zhang ye shi
130800,承德市,cheng de shi ,1308,cheng de shi
140800,运城市,yun cheng shi ,1408,yun cheng shi
150800,巴彦淖尔市,ba yan nao dong shi ,1508,ba yan nao dong shi
210800,营口市,ying kou shi ,2108,ying kou shi
220800,白城市,bai cheng shi ,2208,bai cheng shi
230800,佳木斯市,jia mu si shi ,2308,jia mu si shi
320800,淮安市,huai an shi ,3208,huai an shi
330800,衢州市,衢zhou shi ,3308,leizhou shi
340800,安庆市,an qing shi ,3408,an qing shi
350800,龙岩市,long yan shi ,3508,long yan shi
360800,吉安市,ji an shi ,3608,ji an shi
370800,济宁市,ji ning shi ,3708,ji ning shi
410800,焦作市,jiao 作shi ,4108,jiao zuo shi
420800,荆门市,jing men shi ,4208,jing men shi
430800,张家界市,zhang jia jie shi ,4308,zhang jia jie shi
440800,湛江市,zhan jiang shi ,4408,zhan jiang shi
450800,贵港市,gui gang shi ,4508,gui gang shi
510800,广元市,guang yuan shi ,5108,guang yuan shi
530800,普洱市,pu dong shi ,5308,pu dong shi
610800,榆林市,yu lin shi ,6108,yu lin shi
620800,平凉市,ping liang shi ,6208,ping liang shi
130900,沧州市,cang zhou shi ,1309,cang zhou shi
140900,忻州市,xin zhou shi ,1409,xin zhou shi
150900,乌兰察布市,wu lan cha bu shi ,1509,wu lan cha bu shi
210900,阜新市,fu xin shi ,2109,fu xin shi
230900,七台河市,qi tai he shi ,2309,qi tai he shi
320900,盐城市,yan cheng shi ,3209,yan cheng shi
330900,舟山市,zhou shan shi ,3309,zhou shan shi
350900,宁德市,ning de shi ,3509,ning de shi
360900,宜春市,yi chun shi ,3609,yi chun shi
370900,泰安市,tai an shi ,3709,tai an shi
410900,濮阳市,濮yang shi ,4109,pu yang shi
420900,孝感市,xiao gan shi ,4209,xiao gan shi
430900,益阳市,yi yang shi ,4309,yi yang shi
440900,茂名市,mao ming shi ,4409,mao ming shi
450900,玉林市,yu lin shi ,4509,yu lin shi
510900,遂宁市,sui ning shi ,5109,sui ning shi
530900,临沧市,lin cang shi ,5309,lin cang shi
610900,安康市,an kang shi ,6109,an kang shi
620900,酒泉市,jiu quan shi ,6209,jiu quan shi
131000,廊坊市,lang fang shi ,1310,lang fang shi
141000,临汾市,lin fen shi ,1410,lin fen shi
211000,辽阳市,liao yang shi ,2110,liao yang shi
231000,牡丹江市,mu dan jiang shi ,2310,mu dan jiang shi
321000,扬州市,yang zhou shi ,3210,yang zhou shi
331000,台州市,tai zhou shi ,3310,tai zhou shi
341000,黄山市,huang shan shi ,3410,huang shan shi
361000,抚州市,fu zhou shi ,3610,fu zhou shi
371000,威海市,wei hai shi ,3710,wei hai shi
411000,许昌市,xu chang shi ,4110,xu chang shi
421000,荆州市,jing zhou shi ,4210,jing zhou shi
431000,郴州市,chen zhou shi ,4310,chen zhou shi
451000,百色市,bai se shi ,4510,bai se shi
511000,内江市,nei jiang shi ,5110,nei jiang shi
611000,商洛市,shang luo shi ,6110,shang luo shi
621000,庆阳市,qing yang shi ,6210,qing yang shi
131100,衡水市,heng shui shi ,1311,heng shui shi
141100,吕梁市,lv liang shi ,1411,lv liang shi
211100,盘锦市,pan jin shi ,2111,pan jin shi
231100,黑河市,hei he shi ,2311,hei he shi
321100,镇江市,zhen jiang shi ,3211,zhen jiang shi
331100,丽水市,li shui shi ,3311,li shui shi
341100,滁州市,chu zhou shi ,3411,chu zhou shi
361100,上饶市,shang rao shi ,3611,shang rao shi
371100,日照市,ri zhao shi ,3711,ri zhao shi
411100,漯河市,漯he shi ,4111,lei he shi
421100,黄冈市,huang gang shi ,4211,huang gang shi
431100,永州市,yong zhou shi ,4311,yong zhou shi
451100,贺州市,he zhou shi ,4511,he zhou shi
511100,乐山市,le shan shi ,5111,le shan shi
621100,定西市,ding xi shi ,6211,ding xi shi
211200,铁岭市,tie ling shi ,2112,tie ling shi
231200,绥化市,sui hua shi ,2312,sui hua shi
321200,泰州市,tai zhou shi ,3212,tai zhou shi
341200,阜阳市,fu yang shi ,3412,fu yang shi
371200,莱芜市,lai wu shi ,3712,lai wu shi
411200,三门峡市,san men xia shi ,4112,san men xia shi
421200,咸宁市,xian ning shi ,4212,xian ning shi
431200,怀化市,huai hua shi ,4312,huai hua shi
441200,肇庆市,zhao qing shi ,4412,zhao qing shi
451200,河池市,he chi shi ,4512,he chi shi
621200,陇南市,long nan shi ,6212,long nan shi
211300,朝阳市,chao yang shi ,2113,chao yang shi
321300,宿迁市,su qian shi ,3213,su qian shi
341300,宿州市,su zhou shi ,3413,su zhou shi
371300,临沂市,lin yi shi ,3713,lin yi shi
411300,南阳市,nan yang shi ,4113,nan yang shi
421300,随州市,sui zhou shi ,4213,sui zhou shi
431300,娄底市,lou di shi ,4313,lou di shi
441300,惠州市,hui zhou shi ,4413,hui zhou shi
451300,来宾市,lai bin shi ,4513,lai bin shi
511300,南充市,nan chong shi ,5113,nan chong shi
211400,葫芦岛市,hu lu dao shi ,2114,hu lu dao shi
371400,德州市,de zhou shi ,3714,de zhou shi
411400,商丘市,shang qiu shi ,4114,shang qiu shi
441400,梅州市,mei zhou shi ,4414,mei zhou shi
451400,崇左市,chong 左shi ,4514,chong zuo shi
511400,眉山市,mei shan shi ,5114,mei shan shi
341500,六安市,liu an shi ,3415,liu an shi
371500,聊城市,liao cheng shi ,3715,liao cheng shi
411500,信阳市,xin yang shi ,4115,xin yang shi
441500,汕尾市,shan wei shi ,4415,shan wei shi
511500,宜宾市,yi bin shi ,5115,yi bin shi
341600,亳州市,亳zhou shi ,3416,bo zhou shi
371600,滨州市,bin zhou shi ,3716,bin zhou shi
411600,周口市,zhou kou shi ,4116,zhou kou shi
441600,河源市,he yuan shi ,4416,he yuan shi
511600,广安市,guang an shi ,5116,guang an shi
341700,池州市,chi zhou shi ,3417,chi zhou shi
371700,菏泽市,he ze shi ,3717,he ze shi
411700,驻马店市,zhu ma dian shi ,4117,zhu ma dian shi
441700,阳江市,yang jiang shi ,4417,yang jiang shi
511700,达州市,da zhou shi ,5117,da zhou shi
341800,宣城市,xuan cheng shi ,3418,xuan cheng shi
441800,清远市,qing yuan shi ,4418,qing yuan shi
511800,雅安市,ya an shi ,5118,ya an shi
441900,东莞市,dong 莞shi ,4419,dong guan shi
511900,巴中市,ba zhong shi ,5119,ba zhong shi
442000,中山市,zhong shan shi ,4420,zhong shan shi
512000,资阳市,zi yang shi ,5120,zi yang shi
542100,昌都地区,chang dong di qu ,5421,chang dong di qu
652100,吐鲁番地区,tu lu fan di qu ,6521,tu lu fan di qu
152200,兴安盟,xing an meng ,1522,xing an meng
542200,山南地区,shan nan di qu ,5422,shan nan di qu
632200,海北藏族自治州,hai bei cang zu zi zhi zhou ,6322,hai bei cang zu zi zhi zhou
652200,哈密地区,ha mi di qu ,6522,ha mi di qu
