line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,1,,,,,,,,,,,1
1102,,,,,,,,,,,,,2
1201,,,,,,,,,,,,,3
1202,,,1,,,1,,,1,1,,,4
1301,,,,,,,,,,,1,1,5
1302,,,,,,,,,,,,,6
1303,,,,,,,,,,,,,7
1304,1,,,1,,2,1,2,,2,,1,8
1305,,,,,,1,,2,1,,1,1,9
1306,,,,,,1,,3,,1,2,2,10
1307,,,,,,,1,,,,,,11
1308,,,,,,,,,,,,,12
1309,1,,1,1,2,1,4,4,9,4,3,,13
1310,,,,,,2,2,4,,4,2,,14
1311,,1,1,,,2,1,2,2,,2,1,15
1401,,,,,,,,,,,,,16
1402,,,,,,,,,,,,,17
1403,,,,,,,,,,,,,18
1404,,,,,,,,,,,,,19
1405,,,,,,,,,,,,,20
1406,,,,,,,,,,,,,21
1407,,,,,,,,,,,,,22
1408,,,,,,,,,,,,,23
1409,,,,,,,,,,,,,24
1410,,,,,,,,,,,,,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,,,,27
1501,,,,,,,,,,,,,28
1502,,,,,,,,,,1,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,,,,,,,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,1,,,44
2312,,,,,,,,,,,,,45
2399,,,,1,,,,,,,,,46
3101,,,,,,1,,2,1,,1,2,47
3102,,,,,,,,,,,,,48
3201,,,,2,,1,1,,,,,,49
3202,,,,,,,3,1,,,,,50
3203,1,,,2,3,2,,2,1,,1,1,51
3204,,,,,,,2,1,2,1,1,,52
3205,,,,,,,,,1,,,,53
3206,,,,,,,1,1,1,3,,1,54
3207,,,,,,1,,,,,2,1,55
3208,1,1,1,,1,1,1,1,3,2,1,1,56
3209,,1,,,1,,1,1,,1,1,1,57
3210,,1,1,1,,,,,,,,,58
3211,2,,,,1,2,2,,1,1,,1,59
3212,1,,,,1,1,,,,3,1,,60
3213,3,1,,2,5,2,1,3,4,2,2,,61
3301,,,,,,,,,1,,,,62
3302,,1,,,,,,3,,1,,,63
3303,,,1,1,,1,1,,,,1,1,64
3304,,,2,,1,,,,,1,1,,65
3305,,1,,,,2,,,,,,,66
3306,,,,,,1,1,1,1,1,1,3,67
3307,,,,1,,,,,1,2,4,,68
3308,,,,3,1,1,,,1,,,,69
3310,,1,1,,3,1,2,,1,3,1,,70
3311,,,,,,1,,,,,1,,71
3399,,,,,,,,,,,,,72
3401,,,1,,,1,1,1,,1,,1,73
3402,,,,1,,,1,3,,1,1,1,74
3403,,,,,,,,,,,,,75
3404,1,,,,,,,,,,1,,76
3405,,,1,,,,,,,,,,77
3406,,,,,,,2,1,,,1,,78
3407,,,,,,,,2,,,,,79
3408,1,,1,1,3,,2,2,4,3,,3,80
3410,,,,,,,,,,,1,,81
3411,,,,,,,,,,,,,82
3412,1,,2,2,1,5,3,2,2,5,4,,83
3413,,,1,1,,2,1,2,2,2,1,3,84
3414,,1,,1,,,2,,,1,,,85
3415,1,1,,,,,2,1,3,,,1,86
3416,2,1,,,,,,,4,,1,,87
3417,1,,1,,,,1,,,,,,88
3418,,,1,,,,1,,2,1,1,,89
3499,,,,,,,,,,,,,90
3501,,,,,,,,,,,,,91
3504,1,2,2,,,2,2,,,2,,1,92
3505,2,,1,1,1,1,2,6,2,3,2,,93
3507,,,,,,,,,,,,,94
3508,,,2,,,2,1,1,,1,2,,95
3509,,,,1,,,1,,,,,,96
3510,,,,,,,,,,,,,97
3601,,,,,,,,1,1,1,,1,98
3602,,,,,,,,,,,,,99
3603,,,,1,1,1,2,,,,1,,100
3604,,,1,1,,,,2,,,,,101
3605,,,,,,,1,,,,,,102
3606,,,,,1,,1,,,,,,103
3607,2,2,2,2,1,2,1,,3,5,2,1,104
3608,2,,,,2,1,1,2,2,3,2,,105
3609,1,1,1,,,,3,3,,4,1,,106
3610,1,,,,,1,1,,,,,1,107
3611,,1,1,,,,1,4,5,4,1,2,108
3701,,,,,,,1,,1,1,,2,109
3702,,,,,,,,,,,,,110
3703,,,,,,,,,,1,,,111
3704,1,,,1,1,,1,,1,1,,,112
3705,,,,,,,,,,,,,113
3706,,,,,,,,,,,,,114
3707,,,,,,,,,,,,,115
3708,1,1,,1,,7,6,4,5,4,6,1,116
3709,,,,,,,,2,2,,1,,117
3710,,,,,,,,,,,,,118
3711,,1,,1,,1,,1,,1,2,,119
3712,,,,,,,,,,,,,120
3713,5,1,,2,3,3,2,,6,4,2,3,121
3714,,1,1,,2,,2,4,1,2,2,2,122
3715,,,2,1,,2,4,2,3,4,1,1,123
3716,,,,,,,,,,,,1,124
3717,,1,1,,1,,1,,,,,1,125
3799,,,,,,,,,,,,1,126
4101,,,1,,1,2,1,1,,,,,127
4102,,,,1,,1,,1,,,1,1,128
4103,,,,,,,,,,,,,129
4104,,,,,,,,1,1,,1,2,130
