line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,1,,1,1,,1,1,1,,,,,1
1102,1,,,,,,,,,,,,2
1201,,,,1,1,1,1,,,,,,3
1202,,,,,,,,,,,,,4
1301,1,,1,,2,,1,1,2,1,1,,5
1302,,1,,,,,,,1,,,,6
1303,,,,,,,,,,,,,7
1304,1,1,,1,,,,,2,,,1,8
1305,,,1,,,,,2,,,1,,9
1306,3,,1,1,2,,3,3,5,3,4,,10
1307,,1,,,1,1,,,1,,,1,11
1308,,,,,2,,,3,,,,,12
1309,1,,,,,,,1,,1,1,1,13
1310,,,,1,1,1,,,,,,1,14
1311,,,,,,,,,,2,,,15
1401,,,1,,,,,,,,,,16
1402,,1,,,1,1,1,,1,,,,17
1403,,,,,,1,,,,,2,1,18
1404,,,,,,,,,,,,,19
1405,,,1,,,,,,,,,,20
1406,,2,,,1,1,,5,2,,1,1,21
1407,,,,,,,,1,,2,1,1,22
1408,,1,,,,1,1,1,,2,,,23
1409,,,,,,,,,,,1,,24
1410,1,1,2,1,1,1,1,,3,2,1,1,25
1411,,,1,2,2,3,1,1,1,,2,2,26
1499,,,,,,,,,,,,,27
1501,,2,,,,,,,,,,,28
1502,,,,1,,,,,,1,,2,29
1504,1,,,,,,,,,,,,30
1506,,1,,,,,,,,1,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,1,,,,,1,,,2,,,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,1,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,1,,,,,,,40
2111,,,,,,,,1,,,,,41
2113,,,1,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,1,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,,,,,,1,,,,,47
3102,,,,,,,,,,,,,48
3201,,,,,,,,,,,,,49
3202,,,,1,,1,,,,,1,,50
3203,1,,,,,1,,1,,1,4,1,51
3204,,,,,,,,1,1,,,,52
