line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
3205,,,,,,,,,,,,,53
3206,,,,,,,,,1,,,,54
3207,1,,,,1,,,1,1,,1,,55
3208,1,1,,,,1,1,,,3,,,56
3209,,,,,1,,,,,,,1,57
3210,,,,,,1,,,,,,,58
3211,,,,,,,,,,,,,59
3212,,,1,,,1,,,1,,,,60
3213,1,,,,,,,,1,,2,,61
3301,,,,,,,,,,1,,,62
3302,,,,,,,,,,,1,,63
3303,,,,,,,,,,,,,64
3304,,,,,,,,,,,,,65
3305,,,,,,,,,1,,,,66
3306,,,,,,,,,,,,,67
3307,,,,,,1,1,,1,1,,,68
3308,,,,,,,,,,,,,69
3310,,,,,,,,,,,,,70
3311,,,1,,,,,,,,,,71
3399,,,,,,,,,,,,,72
3401,1,,,,,,,,,,,,73
3402,,,,,,,,,,,,,74
3403,,,,,,,,,,1,,,75
3404,,,,,,1,,,,,,,76
3405,,,,,,,,,,,,,77
3406,,,,,,,,,,,,,78
3407,,,,,,,,,,,,,79
3408,,,,,,,2,,,,,1,80
3410,,,,,,,,,,,,,81
3411,,,,,,,,,,,,1,82
3412,1,1,,,1,,2,1,,,2,,83
3413,1,,,,1,,1,,,1,1,,84
3414,,,,,,,,,,,,,85
3415,,,,1,,1,,,1,,,,86
3416,,1,,,1,,,1,,,,,87
3417,1,1,,,,,,,,,,,88
3418,1,,,,,,,,1,1,,,89
3499,,,,,,,,,,,,,90
3501,,,,,1,,,,,,,,91
3504,,,,,,,,,1,,,,92
3505,,,,,,,,,,,,,93
3507,,,,,,,,,,,,,94
3508,,,,,,,,,,,,,95
3509,,,,,,,,,,,,,96
3510,,,,,,,,,,,,,97
3601,,,,,,,,,,,,,98
3602,,,,,,,,,,,,,99
3603,,,,,,,,1,1,,,1,100
3604,,,1,,,,,1,,,,,101
3605,,,,,,,,,,,,,102
3606,,,,,,,,,,,,,103
3607,1,,2,,,,1,,2,,,,104
3608,,,1,,,,1,1,1,,,,105
3609,,,,,,,,1,,,,1,106
3610,,,,,,,,,,,,,107
3611,,,,,,,,,,,,,108
3701,,,1,,,,,,,2,,1,109
3702,1,,1,,,1,,1,1,3,,,110
3703,,,,,,,,,,,,,111
3704,1,,,,1,1,,,,,,,112
3705,,,,,,,1,,,,,1,113
3706,1,,,,,1,,,,1,,,114
3707,,,,,,,1,,,,,1,115
3708,,,,,,,1,,1,1,,,116
3709,,,,,,,,,,,1,,117
3710,,,,,,,,,,1,,,118
3711,,,,1,,,1,,1,,1,,119
3712,,,,,,,,,,,,,120
3713,,,1,1,2,,2,,2,,,,121
3714,,,,1,,,,1,,,,2,122
3715,,,,,1,,,,1,,,,123
3716,,,,,,,,,1,2,,,124
3717,3,,,1,,,,2,1,,,,125
3799,,,,,,,,,,,,,126
4101,,,2,2,,,1,,,,,,127
4102,,,,,,,1,1,1,3,1,,128
4103,,,,,,,,,,,,,129
4104,,,,,,,,,,1,2,,130
4105,1,,1,,1,,,1,1,,1,,131
4106,,,,,,,,,,,2,,132
4107,,,,,,,,1,1,1,,,133
4108,,,1,1,,1,,1,1,,,,134
4109,1,,,,,,,,,,1,,135
4110,,,,1,1,,1,,,1,,1,136
4111,,,,,,,,,,,,,137
4112,,,,,,,,,1,,,,138
4113,1,,,4,,2,1,3,,6,2,2,139
4114,1,,,,1,,,1,,,1,1,140
4115,,,,,1,,,2,1,,,1,141
4116,1,,,1,,1,1,,,3,,1,142
4117,,,,1,,,1,,,1,,,143
4118,,,,,,,,,,,,,144
4190,,,,,,,,,,,,,145
4199,,,,,,,,,,,,,146
4201,,1,1,,,,1,,1,,,,147
4202,,,,,,,1,,1,,,,148
4203,,,,,,,,,,2,,,149
4205,1,,,,1,,2,,,,,,150
4206,1,,,,,1,1,2,1,,,,151
4207,,,,,,,,,,,,,152
4208,,,,,,1,,1,,1,,,153
4209,,,1,,1,,,2,,,,,154
4210,,,1,,,1,,,,1,1,1,155
4211,,,1,,,,,,,,,,156
4212,,,,,1,,,,,,,,157
4213,,,,,,,,,,1,,,158
4228,,1,1,,,1,,,,,1,,159
4290,,,,1,,,,,,,,,160
4299,,,,,,,,,,,,,161
4301,,,,,,2,,,1,2,1,,162
4302,1,1,,2,1,,,,,,1,,163
4303,,,,,1,,,,,,,,164
4304,,1,1,,,,2,,,,,,165
4305,1,1,,,2,1,2,2,,2,3,1,166
4306,,,,,,,,1,,,,,167
4307,,,,,1,1,1,2,,,1,,168
4308,,,1,,,,,,,,,,169
4309,1,,,,2,1,1,1,2,1,3,,170
4310,,,,,,,,1,1,,,1,171
4311,,1,,1,,,,1,4,1,,2,172
4312,1,,1,,1,,,1,1,1,1,1,173
4313,,,1,1,1,1,1,4,,,1,,174
4331,,,,,,,,,,,,,175
4399,,,,,,,,,,,,,176
4401,2,1,1,,,,,,,,,,177
4402,1,,,,,,1,1,,,1,,178
4403,,1,,,,,1,,,,1,,179
4404,,,,,,,,,,,,,180
4405,,,,,,,,,,,,,181
4406,,,,,,,1,,,,,,182
4407,1,1,,,1,,2,,,,,,183
4408,,,,,,,4,,,,,2,184
4409,1,1,2,,1,1,1,1,2,2,,1,185
4412,,,,1,2,1,1,2,,1,1,3,186
4413,1,,1,1,,,,,1,1,1,1,187
4414,2,2,2,1,1,2,1,1,1,1,2,2,188
4415,,,,,,,,1,1,1,,1,189
4416,4,1,2,2,,2,1,2,2,,1,,190
4417,1,1,1,,,,,,,,,,191
4418,1,1,5,1,3,1,2,2,2,8,1,3,192
4419,,,1,,,,,,,,,1,193
4420,,,,,,,,,,,,,194
4451,,,,,,,,,,,,,195
4452,,,,,,,,,,,,,196
4453,,2,1,1,1,,2,2,1,,1,,197
4499,,,,,,,,,,,,,198
4501,,,2,,2,1,,,1,,1,1,199
4502,1,1,,,,1,,,,1,1,1,200
4503,2,1,7,,2,2,1,1,1,2,,,201
4504,1,1,2,1,3,1,2,1,3,2,4,3,202
4505,,,,,,1,,,1,1,1,,203
4506,,1,,,,,,,,,1,,204
4507,2,1,2,1,3,,2,2,2,3,2,4,205
4508,2,2,3,2,4,1,1,3,2,,,,206
4509,1,,,2,,,,1,2,1,1,1,207
4510,1,,,,1,2,1,,1,,1,,208
4511,,,,,2,,2,,,2,1,,209
4512,3,1,,2,1,2,,,2,3,3,2,210
4513,2,,,,1,1,1,1,2,1,,2,211
4514,,,,,1,,,,,,,,212
4599,,,,,,,,,,,,,213
4601,,,,,,,,,,,,,214
4602,,1,,,,,3,,,,1,,215
4690,4,,5,,3,2,1,3,2,1,,3,216
5001,1,2,,,2,1,,2,2,4,1,,217
5002,,,,4,2,,3,,2,1,2,,218
5003,,,,,,,,,,,,,219
5101,,,,,,,,1,,,,,220
5103,,2,1,,,,3,,2,,,,221
5104,,,,,,,,,,,,,222
5105,,,,,,1,,,1,,,1,223
5106,,,,,,,,,,,,,224
5107,,1,,,1,1,1,,,,,,225
5108,,1,,,,,,,,,,,226
5109,,,1,1,,,,,,,,,227
5110,2,,1,,,,,2,1,,2,1,228
5111,,,,1,,,1,1,1,1,,,229
5113,1,,1,1,,1,,2,,1,1,2,230
5114,,,,,,,,,,,,,231
5115,,1,,,,,,,1,,,,232
5116,,,1,,,,,,,,1,,233
5117,,,,,,,,2,2,,,,234
5118,,,,,,1,,,,,,,235
5119,,,,,2,1,,1,,,,,236
5120,,1,,,,,3,2,,2,,,237
5134,,,,,,1,,,,1,1,,238
5199,,,,,,,,,,,,,239
5201,,,,,,,,,,,,1,240
5202,,,1,,1,,,,1,,,,241
5203,,,1,,2,,,,,1,,,242
5204,2,,2,1,,2,,,2,,,,243
5222,1,,,,,,,1,1,2,4,1,244
5223,,1,,5,3,1,,3,1,,,1,245
5224,2,,,,,,,,2,,,1,246
5226,1,1,,1,5,,,2,,3,3,1,247
5227,2,1,,1,1,4,3,1,3,,4,,248
5299,,,,,,,,,,,,,249
5301,,,,,,2,1,,,,,,250
5303,1,,2,,1,3,1,1,1,,,,251
5304,,,,1,1,,,,,,,,252
5305,1,,1,,,,,1,,,,1,253
5306,,,,,1,,1,,2,3,,,254
5307,,,,,,,,,,,,,255
5308,,1,,2,2,1,2,,,,1,,256
5309,,1,1,,,,,,1,2,1,1,257
5323,,,,,,,,,,,,,258
5325,,,2,1,2,3,,1,,2,,,259
5326,4,,2,1,1,2,,1,2,2,2,,260
5328,1,2,,,,,1,,,,1,,261
5329,,,,,,,,,,,1,,262
5331,,1,,,,,,1,,1,,,263
6101,1,1,,2,,,1,1,,,,,264
6103,2,1,1,,,2,,,,,,,265
6104,,1,,3,1,4,1,,1,,,1,266
6105,1,,1,1,1,2,,1,,,2,,267
6106,,,,,,1,,,,,,,268
6107,1,,,3,1,1,,2,1,2,,,269
6108,,,,,,,,,,,,,270
6109,,,,,,,,,,,,,271
6110,1,,,,,1,,1,,,,,272
6111,,,,,,,,,,,,,273
6190,,,,1,,,,,,,,,274
6199,,,,,,,,,,,,,275
6205,,,,,,1,,,,,1,,276
6208,,,,,,,,1,,1,,,277
6210,,,2,,,,1,1,1,,,,278
6323,,1,,,,,,,,,,,279
6326,,,,,,,,,,,,,280
6401,,,,,1,,1,,1,,,1,281
6402,,,1,,,,,,,,,,282
6403,1,,,,,1,,,,,,,283
6404,,,,,,,1,,,,,,284
6502,,,,,,,,,,,,,285
6540,,,,,,,,,,,,,286
6542,,,,,,,,,,,,,287
