line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,1,,,,,,1,,,1,,,1
1102,,,,,,,,,,,,,2
1201,1,,,1,1,1,4,4,3,1,1,,3
1202,,,,1,,,,,,,,,4
1301,,,1,,,1,,1,1,1,2,2,5
1302,,,,,,,,,,,,,6
1303,,,,,,,,,,,,,7
1304,,,,,1,6,2,3,2,1,,1,8
1305,,,,1,1,,1,1,3,,2,1,9
1306,,2,,6,3,3,5,9,7,6,3,1,10
1307,,,1,,,,,1,,,,,11
1308,,,,,,1,,,,1,,,12
1309,,,4,1,1,3,2,2,3,1,2,1,13
1310,,,,1,2,3,2,5,4,,1,2,14
1311,1,1,4,,2,2,3,,,2,4,1,15
1401,,,,,,,,,,,,,16
1402,,,,,,,,,,,,,17
1403,,,,,,,,,,,,,18
1404,,,,,,,1,,,1,,,19
1405,,,,,,,,,,,,,20
1406,,,,,,,,,,,,,21
1407,,,,,,,,,,,,,22
1408,,,,,,,,,,1,,,23
1409,,,,,,,,,,,,,24
1410,,,,,,,,,,,,,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,,,,27
1501,,,,,,,,,,,,,28
1502,,,,,,,,,,,,,29
1504,,,,,,,,,,1,1,,30
1506,,,,,,,,,,,,,31
1507,,,,,1,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,,,,,,,,,34
1522,,,,,,,,,1,,,,35
1525,,,,,,,,1,,,,,36
1599,,,,,1,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,1,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,2,,,1,,4,,,,,47
3102,,,,,,,,,,,,,48
3201,,1,,1,,1,1,,,,,,49
3202,,,,1,,1,,,,,2,,50
3203,,,1,1,3,,3,5,5,3,1,3,51
3204,1,,2,,,2,,,,,,1,52
3205,,,1,,1,,,2,,1,,,53
3206,2,,,1,,1,1,1,1,1,2,1,54
3207,,,,,1,2,1,1,1,1,1,,55
3208,3,,,1,2,1,3,1,,,2,2,56
3209,,1,1,,2,2,,,2,,1,,57
3210,,,,,1,,,,,,,,58
3211,1,,,1,,1,1,,1,2,,,59
3212,1,,,2,1,,1,1,1,1,2,,60
3213,1,1,,,1,3,,1,2,,,,61
3301,1,,,1,1,,1,,2,,,,62
3302,1,,,2,,,,,2,,,,63
3303,,,1,,,1,1,1,,3,,1,64
3304,,,,,,,,,,,2,2,65
3305,,,,,1,1,,,,1,,,66
3306,,,,,3,1,1,,1,2,1,,67
3307,,,,1,1,1,1,,2,,2,,68
3308,1,,,,,,,1,,2,1,1,69
3310,,,1,,2,,1,,,,1,,70
3311,,,,,,1,,,1,,1,,71
3399,,,,,,,,,,,,,72
3401,,,,,,,,,1,,,,73
3402,,,,,,,,,,,,,74
3403,,,,,2,1,,1,,,1,,75
3404,,,,,,,,1,,,,,76
3405,,,,,,,,,,,,,77
3406,,,,,1,1,2,,,,,,78
3407,,,,,,,,,,,,,79
3408,3,1,1,1,,,1,3,,,,,80
3410,,,,,,,,1,,,,,81
3411,,,,2,,,,1,,2,1,1,82
3412,,1,,1,1,3,,4,3,3,,2,83
3413,,2,,2,,1,,,,2,3,,84
3414,,1,,1,,1,,,1,,,,85
3415,,,,,,1,,,,,,,86
3416,1,1,1,,,3,,,1,1,2,2,87
3417,,,,,,,,,,,,,88
3418,,,1,,,,2,1,1,1,,,89
3499,,,,,,,,,1,,,,90
3501,,,,,,,,,,,,,91
3504,,,,,,,,,1,,1,1,92
3505,,,2,,1,2,4,3,2,1,2,2,93
3507,,,,,,2,,2,,,,,94
3508,,3,1,,,,4,1,1,,,1,95
3509,,,,,1,,,,2,3,,,96
3510,,,,,,,,,,,,,97
3601,,,,,,1,1,2,1,1,1,,98
3602,,,,,,,,,,2,,,99
3603,,2,,,,1,,,,,,1,100
3604,,,,,,,1,1,,,,1,101
3605,,,,,,,,,,,,,102
3606,,,,,,,,1,,,,1,103
3607,,,2,4,3,2,4,,1,2,,,104
3608,,2,1,,,1,3,1,2,2,2,1,105
3609,,,,,,,1,,2,4,1,1,106
3610,,,,,,,,1,1,,,,107
3611,2,,1,,2,2,1,3,2,1,2,,108
3701,1,2,1,1,,2,,1,1,,2,,109
3702,,,,,,,,,,,,,110
3703,,,,,,,,,,,1,,111
3704,1,,,,,3,1,,,,1,3,112
3705,,,,,,,,,,,,,113
3706,,,,,,,1,,1,,,,114
3707,,,,,,,,,,1,,,115
3708,1,,1,2,1,1,,4,,2,1,1,116
3709,1,1,,,1,2,1,,2,1,1,1,117
3710,,,,,,,,,,,,,118
3711,,,,,1,,1,,2,,2,,119
3712,,,,,1,,,,,1,1,,120
3713,2,1,2,2,4,1,3,5,3,3,5,,121
3714,3,,2,2,1,,,5,2,1,1,1,122
3715,1,,,,,,1,2,1,,1,,123
3716,2,1,1,3,1,3,1,1,3,,,,124
3717,,,1,,1,,1,,1,2,2,,125
3799,,,,,,,,,,,,,126
