line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,1,,1,1,1,1,1,2,1,2,2,,1
1102,,,,,,,,,,,,,2
1201,,,1,,1,,,1,1,2,2,,3
1202,,,,,,,,,,,1,,4
1301,,,,,,1,1,2,1,,1,,5
1302,,,2,,,,,,,,,,6
1303,,,,,,1,,,,,,,7
1304,,,,,,,,,2,1,,,8
1305,,,1,,1,2,3,,1,,1,1,9
1306,1,,,1,,1,3,,4,1,,2,10
1307,2,1,,,3,,2,1,1,,1,1,11
1308,1,,1,,,,,,,,,1,12
1309,1,1,,,1,,,,,1,,,13
1310,1,,,,2,1,1,1,,,,,14
1311,1,,,1,1,,,1,1,1,,,15
1401,,,1,,2,,,1,,,,,16
1402,1,,2,,,,1,1,3,,,,17
1403,,,,,,,,,,,,1,18
1404,,1,,,,,,,,,,,19
1405,,,,,,,,,,,,,20
1406,,1,1,,,1,,4,1,,,,21
1407,,2,,,,1,,1,,,1,,22
1408,,,,1,2,1,1,,1,,,,23
1409,,,1,,2,,2,2,2,,,,24
1410,,,3,1,3,1,,6,2,3,3,1,25
1411,,,2,,,,,,,,,,26
1499,,,,,1,,,,,,,,27
1501,,,,,,1,2,,,,,,28
1502,1,,,1,1,,,1,,,,,29
1504,1,,,,,,1,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,1,,,1,1,,,,,,1,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,1,,,1,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,1,41
2113,,,1,1,,1,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,1,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,2,,,,,,,,,1,47
3102,,,,,1,,,,,,,,48
3201,,,1,1,,1,,,,,,,49
3202,,,,,,,1,1,,,,,50
3203,,1,1,1,,1,,1,1,,1,,51
3204,,,,,1,,,,,,,,52
3205,,,1,,,,,1,1,1,,,53
3206,2,1,,,,,,,2,,1,,54
3207,,,,,2,1,1,3,,,,,55
3208,,1,,,,2,1,,,1,,1,56
3209,2,1,1,,1,1,,,,2,,,57
3210,,,,,1,,,,,1,,,58
3211,,,,,,,,,,1,,,59
3212,,,2,,,1,,1,,,1,,60
3213,,,,1,3,1,,1,2,,1,1,61
3301,,,,,,1,,,,,,,62
3302,,,,1,,,,,,,,,63
3303,,1,,1,,,,1,,,,,64
3304,,,,,,,,,,,1,,65
3305,1,,,,,,,,,,,,66
3306,,,,,,1,,,,,,,67
3307,,,,,,,1,1,,,1,,68
3308,,,,,,,,,1,,,,69
3310,,,,,,,,,,,1,,70
3311,,,,,,,,,,,1,,71
3399,,,,,,,,,,,,,72
3401,,,,,,,,1,,,,,73
3402,,,,,,,1,,,,,,74
