line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
3403,,,,,,,,,,1,,,75
3404,,,,,,,1,2,,,,,76
3405,,,,,,1,,1,,,,1,77
3406,1,,,,,,,,,,,,78
3407,,,,,,,,,,,,,79
3408,,,1,,,,,,1,,1,,80
3410,1,,,,,,,,,,,,81
3411,1,,,,,1,,1,,,,,82
3412,,1,,1,1,,1,,1,2,,1,83
3413,,,,1,,,1,,2,,,,84
3414,,,,,,,,,,,,,85
3415,,,,,,,,,,,,1,86
3416,,,1,,1,1,,,1,1,,,87
3417,,,,,,,,,,,,1,88
3418,,,,,1,,,,,,1,,89
3499,,,,,,,1,,,,,,90
3501,,,,,,,,,,,,,91
3504,,,,,,,,,,,,,92
3505,,,,,,,,,,,,,93
3507,,,,,,,,,,,,,94
3508,,,,,,,,1,1,,,,95
3509,,,,,,,,,,,,,96
3510,,,1,,,,,,,,,,97
3601,,,,,,,,2,,1,,,98
3602,,,,,,,,,,,,,99
3603,,,,,,,,1,,,,,100
3604,,,,,,,,,,,,,101
3605,,,,,,,,,,,,,102
3606,,,,,,,,,,,,,103
3607,,1,1,2,,,1,,1,2,1,1,104
3608,,,,,,,,1,2,1,,,105
3609,,,1,,,,,1,,,,,106
3610,1,,,,,,,,,,,,107
3611,1,,1,,,,,,,,,,108
3701,,,1,,,,1,,,,,,109
3702,,,,,1,2,3,,1,,2,,110
3703,,,,,,,,1,1,,,,111
3704,,,1,,,,,,,1,,,112
3705,,,,,,,,,,,,,113
3706,2,1,,1,,,,,,,,2,114
3707,1,,,,,,1,1,,1,1,,115
3708,,,,1,,,,,,,,,116
3709,1,,1,1,,1,,,1,,,,117
3710,,,,,,,1,,1,,,,118
3711,,1,,,,,,,,1,,,119
3712,,,,,,,,,,,,,120
3713,2,1,,,,,,,2,2,,1,121
3714,,1,,,1,,1,1,1,,2,,122
3715,,1,1,,2,,,,,,,,123
3716,,,1,,1,,,,,,,,124
3717,,1,,2,2,,1,,,1,2,1,125
3799,,,,,,,,,,,,,126
4101,,,,,2,,,,,,,,127
4102,,2,,1,1,2,2,,1,,1,,128
4103,,,1,,,,1,,,1,,,129
4104,,1,,,,,,,2,,1,1,130
4105,,,,1,1,,,1,,1,1,1,131
4106,,,,,,,,,,,,,132
4107,,,,1,,,,,,,3,,133
4108,,1,,,,,,,,,,1,134
4109,,,,,,2,1,1,,,1,1,135
4110,,,,1,,,1,1,1,,3,,136
4111,,,,,,,,,,,,,137
4112,,,,,,,,2,,,,,138
4113,1,,,,1,,,2,,2,,1,139
4114,1,,,,1,1,2,1,1,1,,1,140
4115,,,,,,1,1,1,2,,1,1,141
4116,1,1,2,,1,1,,1,1,3,2,,142
4117,,,,,1,,,,1,,,,143
4118,,,,,,,,,,,,,144
4190,,,,,,1,,,,,,,145
4199,,,,,,,,,,,,,146
4201,,,,,,1,,,,,,1,147
4202,,,,,,,,,1,1,,,148
4203,,,,,,,1,,,,,1,149
4205,,,,,,1,2,1,2,,2,2,150
4206,2,,,1,,,1,1,2,,,1,151
4207,,,,,,,,,,,,,152
4208,,1,,,,,,,,,,,153
4209,,,,,1,,,,1,2,,1,154
4210,1,,,1,1,,,,,1,,,155
4211,,,,1,,1,,1,1,1,,1,156
4212,,,,1,,,2,,,,,,157
4213,,,,,,,,,1,1,,1,158
4228,,1,,,,1,,,1,,,1,159
4290,2,,,,1,,1,,,,1,,160
4299,,,,,,,,,,,,,161
4301,1,2,,,,1,,,1,3,2,,162
4302,1,,,,1,1,,,,,1,,163
4303,,,,,,1,,,1,1,1,1,164
4304,,,,,1,,,,,,,,165
4305,2,,1,,,1,1,4,,2,2,1,166
4306,,,1,,,1,,2,,2,1,,167
4307,1,1,,,2,,2,1,,,3,1,168
4308,,,,1,,1,,1,1,,,,169
4309,4,,,,,2,2,2,,2,4,,170
4310,1,,,,1,,,3,,1,,,171
4311,1,,,2,,5,2,4,1,2,4,,172
4312,,,2,,,1,,,1,,1,,173
4313,2,,,,1,,,,2,,2,1,174
4331,,2,1,2,,,,,1,,,,175
4399,,,,,,,,,,,,,176
4401,,,1,,,,,,1,,,,177
4402,,1,,1,1,,1,,1,,1,,178
4403,,1,,1,,,1,,,2,1,,179
4404,,,,,,,,,,,,,180
4405,,,,,,,,,,,,,181
4406,1,,1,,,,,,,,,,182
4407,,,1,,,2,,,,,1,1,183
4408,,,,,,,,1,,,1,,184
4409,4,1,3,2,2,,4,3,6,2,1,4,185
4412,1,1,,,,1,2,1,,,,1,186
4413,,4,,1,1,,1,,,2,1,,187
4414,,1,,1,3,1,,,1,,,,188
4415,,,,,,,,,,,,,189
4416,2,2,3,2,1,2,4,1,1,1,3,3,190
4417,,,,,,,,1,,,,,191
4418,2,1,1,5,1,,4,4,5,3,4,5,192
4419,,1,,1,,,1,1,1,,1,,193
4420,,1,,,,,,,,,,,194
4451,,,,,,,,,,,,,195
4452,,,,,,,,,,,,,196
4453,1,,1,1,1,,1,1,1,,3,1,197
4499,,,,,,,,,,,,,198
4501,,1,1,3,2,1,,,,1,,1,199
4502,2,,1,3,,1,1,1,,1,2,2,200
4503,1,1,3,2,2,2,3,1,3,4,3,4,201
4504,1,1,1,2,1,1,3,,4,4,2,,202
4505,,,1,,,,1,,,1,2,,203
4506,,,1,,,,,1,,,,,204
4507,,1,1,2,1,1,,1,2,8,1,2,205
4508,,3,,3,2,3,2,3,5,4,5,3,206
4509,3,2,1,4,3,,3,2,,1,2,1,207
4510,3,,1,,1,5,1,2,,1,2,,208
4511,2,1,2,1,1,,,1,1,1,,,209
4512,4,,,1,3,3,3,2,1,2,2,1,210
4513,4,2,2,3,1,,3,1,2,,2,1,211
4514,,,1,1,2,,,,,1,1,2,212
4599,,,,,,,,,,,,,213
4601,,,,,,,,,,,,,214
4602,,1,1,,1,1,1,1,,1,2,1,215
4690,1,5,2,,,,2,1,2,2,1,1,216
5001,,2,2,3,1,1,4,3,1,,1,1,217
5002,,2,2,3,1,3,1,3,4,4,2,3,218
5003,,,,,,,,,,,,,219
5101,,,,,,,,,,1,,,220
5103,,1,,1,2,,,1,,1,1,,221
5104,,,,,,,,,,,,,222
5105,,,,1,,,,,1,,,,223
5106,,,,,,,,,,,,,224
5107,,1,,,1,,,,1,1,,1,225
5108,,1,,,,,,,,1,1,,226
5109,1,,,,,,2,,,,,1,227
5110,1,1,,,,,1,2,1,,,,228
5111,1,1,,1,,,,2,,,2,,229
5113,,,1,2,1,2,4,,2,1,,,230
5114,1,,1,,,,1,,,,,,231
5115,,,,,,1,,,1,,,,232
5116,,,,,,,,,,,,1,233
5117,,,,,,,,,,,,,234
5118,,,,,,,,,,,,,235
5119,,,,,,1,2,,2,2,,,236
5120,,,,,,1,,,,,,1,237
5134,,,,,,,3,,2,,,,238
5199,,,,,,,,,,,,,239
5201,,,1,1,,1,,,1,,,1,240
5202,2,1,1,4,1,,,1,,,,2,241
5203,,,,,1,1,,,1,1,,,242
5204,1,,2,1,,1,2,2,2,,3,,243
5222,,1,,,1,,1,2,2,,,,244
5223,4,3,1,1,2,2,1,7,,2,2,,245
5224,2,3,,1,,1,,,,1,,1,246
5226,3,,1,,1,3,1,,4,1,3,2,247
5227,,1,1,,2,1,4,4,2,,3,,248
5299,,,,,,,,,,,,,249
5301,1,,3,1,,1,,,,,1,1,250
5303,2,1,,1,,2,1,1,,1,,,251
5304,,,,1,1,,,,,,3,2,252
5305,,,,,,,,,,,,,253
5306,,1,1,1,,,,,,,,,254
5307,,,,,,,,,,,,,255
5308,,2,,1,2,1,3,1,1,,2,,256
5309,,,,,,2,,,1,,1,,257
5323,,,,,,,,1,,1,,,258
5325,4,2,1,1,,2,1,2,,4,,,259
5326,,1,,,,1,1,,,3,,,260
5328,1,1,2,1,1,,2,1,,4,,1,261
5329,,,,,,,,,,,,,262
5331,1,,,,,,,,,,,,263
6101,,,,1,,,,,1,5,,,264
6103,,,,,,,,,2,,,,265
6104,1,,,,1,2,1,1,,1,,1,266
6105,3,1,1,,1,1,1,2,1,,1,1,267
6106,,,,,,,,,,,,1,268
6107,,,2,,,,1,,3,4,1,,269
6108,,,,,,,,,,,,,270
6109,,,,,,,,,,,,1,271
6110,,,,,,,,,,1,,1,272
6111,,,,,,,1,,,,,,273
6190,,,,,,,,,,,,,274
6199,,,,,,,,,,,,,275
6205,,,,,,,,,,,,,276
6208,,,,,,,,,,,,,277
6210,,,,,,,,,,,,,278
6323,,,,,,,,,,,,,279
6326,,,,,,,,,,,,1,280
6401,,,,,,,,,,,,,281
6402,,,,,,,,2,,,,,282
6403,,,,,,,,,,,,,283
6404,,,,,,,,1,,,,,284
6502,,,,,,,,,,,,,285
6540,,,,,,,,,,,,,286
6542,,,,,,,,,,,,,287
