2005,2006,2007,2008,2009,2010,2011,2012,2013
2,1,5,14,13,15,20,5,5
26,40,16,12,9,13,7,2,6
27,78,60,58,57,61,37,32,13
16,11,29,29,22,23,17,7,12
26,30,16,13,25,23,13,10,7
23,21,13,13,17,13,9,7,18
22,15,9,4,7,1,1,,4
26,17,21,16,13,27,15,25,17
32,15,18,13,16,27,14,1,3
20,43,51,64,74,49,43,35,30
18,31,8,10,6,4,5,6,2
3,,3,,,,1,1,
,,,,1,,,,
4,11,15,12,7,1,1,,
20,21,17,20,35,20,9,11,11
,,,1,,,,,
0,0,0,0,0,0,0,0,0
74,33,33,34,24,10,12,10,8
30,67,28,17,23,18,23,14,6
56,44,55,45,46,40,29,29,19
18,14,25,21,25,22,18,20,24
10,13,17,9,4,7,2,5,4
5,10,9,3,7,2,4,2,2
23,47,38,29,19,35,22,20,24
47,69,64,41,43,31,38,33,20
59,64,54,39,28,36,36,22,9
25,40,61,43,25,28,14,16,7
20,24,26,14,13,15,31,10,7
30,40,34,23,18,29,26,22,19
66,39,32,36,36,19,16,21,11
17,15,16,18,13,12,17,8,1
1,,,,,,,,
0,0,0,0,0,0,0,0,0
1,,11,14,4,2,1,,
,,,,1,16,4,10,5
3,7,54,92,41,53,39,17,24
0,0,0,0,0,0,0,0,0
1,6,65,56,54,30,43,19,15
4,22,111,116,71,63,43,28,14
1,,,,,,,,
0,0,0,0,0,0,0,0,0
2,25,52,,11,3,1,1,1
12,13,13,4,3,6,3,7,8
,,,,,1,,,
,1,9,6,8,7,10,2,3
,,6,9,3,12,5,,
,,8,7,12,6,3,5,4
,1,,1,2,,2,3,1
,,29,30,10,7,8,4,2
3,18,22,8,5,3,5,6,9
4,5,10,4,6,2,8,7,5
1,20,65,26,8,8,13,13,10
11,19,23,21,8,5,3,3,
1,10,9,3,3,2,1,2,2
,10,53,12,7,3,4,1,2
11,29,21,7,6,2,1,,4
1,,1,3,2,9,1,,1
1,14,21,12,5,1,1,7,4
1,24,29,11,2,5,2,2,8
1,,,8,,,2,5,3
,2,,,1,,,,
0,0,0,0,0,0,0,0,0
28,43,24,12,25,12,10,5,1
16,59,23,18,11,25,16,12,3
37,83,34,22,20,15,13,4,4
75,64,48,35,37,32,30,14,9
15,53,61,35,28,30,17,7,10
138,117,48,28,38,42,40,25,15
34,83,84,63,27,30,32,9,5
78,69,46,35,25,27,27,19,17
63,66,53,35,50,41,22,18,20
,1,1,,2,,,,
0,0,0,0,0,0,0,0,0
2,,,5,5,10,10,8,3
1,20,14,34,4,12,17,9,10
,,,,1,11,3,7,2
,1,2,,,1,,,4
,1,38,39,19,11,5,3,7
1,,,,,,,,
,,,,,7,9,13,9
,1,,,1,,,4,7
,5,,,,,2,2,
,,,19,26,40,28,17,11
2,3,9,10,15,36,35,6,17
,,,1,2,5,8,14,5
,,,,,,,,1
5,6,3,,,,1,1,3
0,0,0,0,0,0,0,0,0
,,,,,,1,7,6
,,,,,,,2,6
,,,,,,4,8,12
,,,,,5,30,13,9
1,,,,,,1,1,1
,,,,25,14,6,11,11
,1,,,,,,,
1,,,,,2,,1,
,1,,,1,,,2,3
,,,,,,,1,
,,,,,,,,1
1,,,,,,,,
0,0,0,0,0,0,0,0,0
,,,,,,,,2
,,,,1,,,,2
,,,,,,,,5
0,0,0,0,0,0,0,0,0
,,,,,,,,1
,,,,,,,1,
0,0,0,0,0,0,0,0,0
,,,,,,2,,4
,,,,,,,2,1
,,,,,,,,2
,,,,,,,1,1
0,0,0,0,0,0,0,0,0
,,,,,,1,,
,,,1,,,,,
1,,,,,,1,,
