,,1,,,,1,1,3
,,,2,1,,1,2,
1,,,,,,,,
,,,,,2,1,,1
,,,,,,,1,
,1,,1,1,2,,,1
,,,1,,1,,5,
,,,,,1,,3,
,,,,1,1,,,
,,2,2,,,1,1,
,,,,,2,,,1
,,,,,,1,,1
,,2,,,,,1,
,,,,,,2,,
,,1,,,1,1,1,
,,1,1,,,2,,
,,1,,1,,,,
,,,,1,,,,
3,,,1,,,,,
,,,,1,,,1,2
,,,,2,,,,
,,3,2,,,,,
,,3,3,2,,,,
,,5,2,1,1,1,2,1
,,1,1,,,,1,1
,,,,,1,,2,
,,,,2,,,,
,4,1,,1,1,2,,
,,,,,,,1,
,,,,,,,1,
,,,,,,1,,
,,,1,1,,,,
,,,1,,,,,
,,,,,4,1,,
,,,,1,1,2,,
,,,,3,,,,
,,3,1,1,,1,,1
,,1,3,1,,,1,1
1,1,2,,2,,,,1
,,,,1,,,,
,,,,1,3,1,,
,,,3,1,1,,1,2
,,,,1,,1,1,1
,,,1,1,1,1,,
,,1,1,1,1,,,1
,,,1,2,1,2,1,2
,,1,,1,2,,,1
,1,1,,2,1,1,1,
,,,,2,,2,,
,,,,,,,,1
,,,,1,4,,,
,,,,2,1,,,
,,,,1,5,,,
,,,,4,1,,,
,,,,3,2,1,,
,,,,1,3,,,
,,,,,2,,1,
,,,,,1,,,
,,,,,,1,,
,,,3,,2,2,1,1
,,,1,1,2,,,
,,,,1,,,,
,,,,1,1,,1,
,,,,2,2,,,
,,,,4,7,1,,
,,,,1,1,,,
,,,1,,,,,
,,,,1,,,,1
,,2,,,,1,,
,,1,1,1,,2,,1
,1,2,,1,,,,
,2,,,1,,,,1
,1,1,,2,,,,
,,3,2,2,,1,1,
,,1,,,,,,
,,,1,,1,,,
,1,,,,,1,,
,4,1,,,1,,,1
,,3,,,,,1,1
,1,2,,,,,1,
,,,1,1,,,,1
,,,,,,,1,
,,,2,2,,,,
,,,1,,1,1,,
,,1,2,1,,,2,
,,1,1,1,,,,
,,2,,,1,,,
,,,2,2,,2,,
,,,,2,1,,2,
,,2,3,1,2,1,,1
,,1,,1,,,,
,,,1,,,1,,
,1,,,,,,,
,,,,,1,,1,
,1,,,2,,2,2,1
,1,2,,,,,1,1
,2,1,1,,1,,,
,1,,,,1,,1,1
,,,,1,1,1,,
,,,,1,1,,,
,,,1,1,,,,
,1,,,2,1,,,1
,,,,2,2,,,1
,2,1,2,4,4,4,1,1
,,,2,,,1,,
,,,1,,,,,
,,2,2,3,1,,4,2
,,,3,,1,1,,1
,,,1,3,1,2,1,
,1,1,2,,,,1,
,,1,1,,,,,1
,,,,,,1,,1
,,1,,,1,1,,1
,,1,3,,2,1,,2
,,,1,2,,,,
1,,7,,1,1,,2,1
,,3,,,,,,2
,,,1,1,1,1,,1
,,,,1,2,2,,1
,3,4,1,2,,1,1,2
,,2,2,,1,,,1
,2,14,4,13,6,2,1,4
,,5,2,1,1,2,2,1
,,3,5,2,,1,,1
,,,,,,,,1
,,,1,,,,1,
,,,,,,2,1,
,,,,,1,,,
,,,1,,1,1,,1
,,,,4,,,,
,,2,,,1,,1,
,1,,,,1,2,,
,,,1,,,,,
,,,,,,4,5,1
,,,,,,1,2,2
,,,,,,3,,
,,,1,2,1,,,
,,,1,1,,2,,
,,,,1,,2,2,
,,,,,1,1,,
,,,,,1,,,
,,,,,1,,,
,,,,,1,1,1,1
,,,,,,,1,
,,,1,,2,,,
,,,,,,1,,1
,,,,,,,1,
,,,,,,,,2
,,2,,,,,,1
,,,,,,,,1
,,1,,,,,,
2,3,4,4,1,3,,,1
2,,1,2,,,1,,1
,2,,3,,1,1,,
,1,,2,,,,,1
,3,3,,1,2,,2,
,,1,,,,1,,
1,1,1,,1,,,,
